,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
260,285699218,-CakeGirl-,1,1,3,3,0,3,2,1,1,13
261,285796278,-CakeGirl-,1,2,1,3,0,2,2,1,1,10
262,285799801,-CakeGirl-,1,3,0,0,0,0,2,1,0,3
263,285812317,-CakeGirl-,1,4,0,0,0,0,0,0,0,0
264,285812920,-CakeGirl-,1,5,0,0,0,1,2,1,1,5
265,285816855,-CakeGirl-,1,6,1,1,0,1,2,1,1,7
266,286106123,-CakeGirl-,1,7,1,1,0,1,1,1,1,6
267,286432521,-CakeGirl-,1,8,3,1,0,1,2,1,1,9
268,286433738,-CakeGirl-,1,9,3,1,0,1,2,1,1,9
269,286553900,-CakeGirl-,1,10,3,1,0,0,2,1,1,8
270,286732806,-CakeGirl-,1,11,1,1,0,1,2,1,1,7
271,286750678,-CakeGirl-,1,12,3,1,0,0,2,1,1,8
272,287038976,-CakeGirl-,1,13,1,3,0,2,2,1,1,10
273,287238082,-CakeGirl-,1,14,0,0,0,0,1,1,0,2
274,287246391,-CakeGirl-,1,15,3,1,0,1,2,1,1,9
275,287247382,-CakeGirl-,1,16,3,1,0,1,2,1,1,9
276,287279375,-CakeGirl-,1,17,0,0,0,0,1,1,0,2
277,287287337,-CakeGirl-,1,18,3,1,0,1,3,1,1,10
278,287295360,-CakeGirl-,0,19,0,0,0,1,2,1,1,5
279,287299035,-CakeGirl-,0,20,1,1,0,1,1,1,1,6
