,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
920,285608252,-Xeto-,0,1,1,1,0,0,2,1,1,6
921,285610644,-Xeto-,0,2,1,1,3,2,2,2,2,13
922,285710468,-Xeto-,0,3,1,1,0,1,3,1,1,8
923,285718742,-Xeto-,0,4,1,3,3,2,2,2,2,15
924,286105423,-Xeto-,0,5,1,3,0,2,2,1,1,10
925,286400351,-Xeto-,0,6,3,1,1,2,3,1,1,12
926,287292819,-Xeto-,0,7,1,1,3,3,3,2,2,15
927,287420536,-Xeto-,0,8,0,0,0,0,0,0,0,0
928,287739463,-Xeto-,0,9,3,3,3,2,3,1,2,17
929,292658245,-Xeto-,0,10,3,1,3,2,3,2,2,16
930,294674388,-Xeto-,0,11,3,3,3,2,3,2,2,18
931,295333909,-Xeto-,0,12,1,1,2,1,3,2,2,12
932,298704427,-Xeto-,0,13,3,3,1,2,3,1,1,14
933,303823530,-Xeto-,0,14,3,1,0,1,2,1,1,9
934,308868309,-Xeto-,0,15,1,1,1,1,2,2,1,9
935,308957827,-Xeto-,0,16,1,1,1,0,2,2,1,8
936,309663465,-Xeto-,0,17,3,3,2,2,3,2,2,17
937,310962143,-Xeto-,0,18,1,3,3,2,2,2,2,15
938,312433620,-Xeto-,0,19,3,2,3,2,2,2,2,16
939,313842725,-Xeto-,0,20,3,3,3,3,3,1,1,17
