,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
1220,294591147,-sushiiq-,0,1,0,0,0,0,1,1,0,2
1221,294592845,-sushiiq-,0,2,0,0,0,0,1,1,0,2
1222,294653669,-sushiiq-,0,3,0,0,0,0,0,0,0,0
1223,294653810,-sushiiq-,0,4,0,0,0,0,0,0,0,0
1224,294653888,-sushiiq-,0,5,0,0,0,0,0,0,0,0
1225,294653989,-sushiiq-,0,6,0,0,0,0,0,0,0,0
1226,294654084,-sushiiq-,0,7,0,0,0,0,0,0,0,0
1227,294654711,-sushiiq-,0,8,0,0,0,0,0,0,0,0
1228,294654853,-sushiiq-,0,9,0,0,0,0,0,0,0,0
1229,294654964,-sushiiq-,0,10,0,0,0,0,0,0,0,0
1230,294655081,-sushiiq-,0,11,0,0,0,0,0,0,0,0
1231,294655179,-sushiiq-,0,12,0,0,0,0,0,0,0,0
1232,294663247,-sushiiq-,0,13,1,1,0,2,2,1,1,8
1233,296576688,-sushiiq-,0,14,1,1,0,0,1,1,1,5
1234,296628160,-sushiiq-,1,15,1,1,0,1,1,1,1,6
1235,296643648,-sushiiq-,0,16,1,3,0,2,2,1,1,10
1236,296702608,-sushiiq-,0,17,1,1,0,0,1,1,1,5
1237,296752193,-sushiiq-,0,18,1,1,0,1,2,1,1,7
1238,297147283,-sushiiq-,0,19,0,0,0,0,0,0,0,0
1239,297147434,-sushiiq-,0,20,0,0,0,0,0,0,0,0
