,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
3400,326870501,1cawoohoo,1,1,1,1,0,2,2,1,1,8
3401,326871708,1cawoohoo,0,2,1,1,0,1,2,1,1,7
3402,326874711,1cawoohoo,1,3,0,0,0,1,1,1,1,4
3403,326876433,1cawoohoo,1,4,1,3,0,3,2,1,2,12
3404,326885567,1cawoohoo,1,5,1,1,0,0,2,2,1,7
3405,326892550,1cawoohoo,1,6,0,0,0,0,0,0,0,0
3406,326936312,1cawoohoo,1,7,0,0,0,0,0,0,0,0
3407,327183379,1cawoohoo,1,8,0,0,0,0,1,1,0,2
3408,327184658,1cawoohoo,1,9,1,1,0,3,2,1,1,9
3409,327186722,1cawoohoo,1,10,0,0,0,0,0,0,0,0
3410,327190710,1cawoohoo,1,11,0,0,0,0,1,1,0,2
3411,327192263,1cawoohoo,1,12,1,3,0,2,2,1,1,10
3412,327280546,1cawoohoo,1,13,0,0,0,0,1,1,0,2
3413,327285656,1cawoohoo,1,14,0,0,0,0,0,0,0,0
3414,327287010,1cawoohoo,1,15,1,1,0,3,2,1,1,9
3415,327288862,1cawoohoo,1,16,1,1,0,2,2,1,1,8
3416,327300218,1cawoohoo,1,17,1,3,0,2,1,1,1,9
3417,327305188,1cawoohoo,1,18,0,0,0,0,2,1,0,3
3418,327306394,1cawoohoo,0,19,0,0,0,0,0,0,0,0
3419,327318409,1cawoohoo,1,20,0,0,0,0,1,1,0,2
