,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
4260,304919587,20CLXY,0,1,0,0,0,0,1,0,1,2
4261,307809257,20CLXY,0,2,0,0,0,0,0,0,0,0
4262,308169864,20CLXY,0,3,0,0,0,0,0,0,0,0
4263,308178173,20CLXY,0,4,0,0,0,0,0,0,0,0
4264,309131341,20CLXY,0,5,0,0,0,0,0,0,0,0
4265,309135730,20CLXY,0,6,0,0,0,0,0,0,0,0
4266,309141163,20CLXY,1,7,3,3,3,3,3,2,3,20
4267,309337925,20CLXY,1,8,3,3,3,3,3,2,2,19
4268,309817273,20CLXY,0,9,0,0,0,0,1,0,1,2
4269,309835523,20CLXY,0,10,0,0,0,0,0,0,0,0
4270,310004432,20CLXY,0,11,0,0,0,0,1,1,0,2
4271,310162173,20CLXY,0,12,0,0,0,0,0,0,0,0
4272,310169995,20CLXY,1,13,0,0,0,0,0,0,0,0
4273,311344842,20CLXY,1,14,3,3,3,3,3,2,3,20
4274,311555668,20CLXY,0,15,0,0,0,0,3,1,1,5
4275,311688177,20CLXY,0,16,0,0,0,0,0,0,0,0
4276,312274275,20CLXY,0,17,0,0,0,0,0,0,0,0
4277,312394369,20CLXY,1,18,0,0,0,0,0,0,0,0
4278,316062160,20CLXY,0,19,0,0,0,0,0,0,0,0
4279,326007003,20CLXY,0,20,0,0,0,0,0,0,0,0
