,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
5420,278596923,28hilld,0,1,0,0,0,0,1,1,1,3
5421,278599061,28hilld,0,2,0,0,0,0,1,1,1,3
5422,281383318,28hilld,0,3,0,0,0,0,1,2,2,5
5423,283777398,28hilld,0,4,1,1,0,0,2,1,1,6
5424,283889843,28hilld,0,5,1,1,0,0,2,1,2,7
5425,285183445,28hilld,0,6,0,0,0,0,1,2,2,5
5426,285192674,28hilld,0,7,1,0,0,3,3,2,2,11
5427,285423234,28hilld,0,8,0,0,0,0,1,2,2,5
5428,286063859,28hilld,1,9,3,3,3,2,3,2,2,18
5429,286064370,28hilld,1,10,3,3,3,2,3,2,2,18
5430,286235898,28hilld,0,11,1,0,0,0,1,2,2,6
5431,286366807,28hilld,0,12,1,0,0,0,1,2,2,6
5432,286374417,28hilld,1,13,1,1,1,1,2,1,1,8
5433,286607712,28hilld,0,14,1,2,0,0,2,2,2,9
5434,286618010,28hilld,1,15,3,3,1,2,3,2,2,16
5435,286684703,28hilld,0,16,1,2,0,0,2,2,2,9
5436,286865080,28hilld,1,17,1,2,0,0,1,2,2,8
5437,286978078,28hilld,1,18,1,2,0,0,1,2,1,7
5438,286980057,28hilld,1,19,1,1,0,1,2,1,1,7
5439,288712227,28hilld,1,20,1,1,0,0,2,1,1,6
