,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
5780,281761584,2shea19,0,1,1,2,0,1,2,2,1,9
5781,281763340,2shea19,0,2,0,0,0,0,1,1,1,3
5782,281765504,2shea19,0,3,1,1,0,0,2,2,1,7
5783,281767585,2shea19,0,4,1,0,0,0,2,2,1,6
5784,282332437,2shea19,0,5,0,0,0,1,2,2,0,5
5785,283103712,2shea19,0,6,1,0,0,1,2,2,1,7
5786,283637764,2shea19,0,7,1,3,0,3,1,1,1,10
5787,284308519,2shea19,0,8,1,1,1,1,2,2,2,10
5788,284391762,2shea19,0,9,1,1,0,1,2,1,1,7
5789,284970737,2shea19,0,10,1,2,0,1,2,2,2,10
5790,284975563,2shea19,0,11,1,1,0,1,2,1,1,7
5791,284979645,2shea19,0,12,1,1,0,1,1,1,1,6
5792,285554309,2shea19,0,13,1,1,1,1,2,2,2,10
5793,286389240,2shea19,0,14,1,1,0,1,2,1,1,7
5794,286390809,2shea19,0,15,1,1,0,1,2,1,1,7
5795,287017981,2shea19,0,16,1,0,0,1,2,2,1,7
5796,287988888,2shea19,0,17,1,1,0,1,2,1,1,7
5797,288836234,2shea19,1,18,1,1,0,3,2,2,2,11
5798,290427189,2shea19,0,19,0,0,0,1,1,3,1,6
5799,296181691,2shea19,0,20,1,3,1,3,2,2,1,13
