,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
6000,296486610,340451af,1,1,1,3,1,2,2,1,2,12
6001,296659532,340451af,0,2,1,2,0,1,2,2,2,10
6002,296764750,340451af,0,3,1,3,1,3,2,2,2,14
6003,297495157,340451af,0,4,1,3,0,3,2,2,1,12
6004,304984658,340451af,0,5,1,1,0,1,1,1,1,6
6005,305464076,340451af,1,6,2,3,3,3,2,2,2,17
6006,305746818,340451af,0,7,1,3,0,3,2,2,2,13
6007,305759425,340451af,1,8,3,3,3,3,3,2,3,20
6008,305802868,340451af,0,9,1,1,1,1,2,2,2,10
6009,306354847,340451af,0,10,1,1,0,1,1,1,1,6
6010,306632495,340451af,0,11,1,3,1,3,2,2,1,13
6011,307216164,340451af,1,12,1,3,0,3,3,1,2,13
6012,307569608,340451af,0,13,1,3,1,3,2,2,2,14
6013,308619213,340451af,0,14,1,3,0,3,1,2,1,11
6014,308658476,340451af,0,15,1,1,1,0,2,2,1,8
6015,308667126,340451af,1,16,2,3,3,3,2,2,2,17
6016,310239147,340451af,0,17,1,0,0,0,1,2,1,5
6017,310246255,340451af,0,18,1,1,0,1,2,1,1,7
6018,311645908,340451af,0,19,1,3,1,3,2,2,2,14
6019,311955873,340451af,1,20,3,3,3,3,2,2,2,18
