,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
7660,282049152,6640005702,0,1,1,1,0,1,1,1,1,6
7661,284959133,6640005702,1,2,3,1,0,2,2,1,2,11
7662,285267144,6640005702,1,3,1,1,0,1,2,1,1,7
7663,285553898,6640005702,1,4,1,3,0,2,2,2,1,11
7664,286062016,6640005702,1,5,1,1,0,2,2,1,1,8
7665,286371463,6640005702,1,6,1,3,2,3,3,2,1,15
7666,286683776,6640005702,0,7,1,3,0,2,1,1,1,9
7667,286695358,6640005702,1,8,1,3,2,3,1,2,1,13
7668,288544324,6640005702,1,9,1,1,0,1,2,1,1,7
7669,288549161,6640005702,1,10,1,1,0,1,2,1,1,7
7670,288838619,6640005702,1,11,1,3,0,2,2,2,1,11
7671,289371487,6640005702,1,12,1,1,0,0,2,2,2,8
7672,289696664,6640005702,1,13,0,0,2,0,3,1,1,7
7673,289697019,6640005702,1,14,1,1,1,3,2,2,1,11
7674,289706644,6640005702,1,15,3,2,0,0,3,2,1,11
7675,290032550,6640005702,0,16,2,1,0,2,2,1,2,10
7676,302786128,6640005702,1,17,1,1,0,1,2,1,1,7
7677,303037638,6640005702,1,18,1,2,3,0,3,2,1,12
7678,303038971,6640005702,1,19,0,0,1,2,2,2,1,8
7679,303042449,6640005702,1,20,1,2,3,0,3,2,1,12
