,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
8560,291618320,92nov,0,1,1,1,3,2,2,2,2,13
8561,293850649,92nov,0,2,1,3,1,3,2,2,1,13
8562,295400520,92nov,0,3,0,0,0,0,1,1,0,2
8563,295432222,92nov,0,4,1,1,3,2,2,2,2,13
8564,296251809,92nov,0,5,1,1,0,0,2,2,1,7
8565,296255452,92nov,0,6,0,0,0,0,0,0,0,0
8566,296259758,92nov,0,7,1,2,0,0,2,2,1,8
8567,296265441,92nov,0,8,1,1,0,0,2,1,1,6
8568,296600227,92nov,0,9,1,1,0,1,2,1,1,7
8569,297189268,92nov,0,10,1,1,0,2,2,2,1,9
8570,297532638,92nov,0,11,1,3,0,3,1,1,1,10
8571,297541260,92nov,0,12,1,1,0,0,2,1,1,6
8572,297565773,92nov,0,13,1,1,1,0,2,2,1,8
8573,297892877,92nov,0,14,1,1,0,0,2,2,1,7
8574,297897999,92nov,0,15,1,1,0,1,2,1,1,7
8575,299105226,92nov,0,16,1,1,0,2,2,1,1,8
8576,299105742,92nov,0,17,1,1,0,1,2,1,1,7
8577,299119162,92nov,0,18,3,3,3,3,3,2,3,20
8578,301191594,92nov,0,19,1,1,0,1,2,1,1,7
8579,301485926,92nov,0,20,3,3,3,3,3,2,3,20
