,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
9040,291702247,AHMAT-B5,0,1,1,1,0,0,2,1,1,6
9041,292950807,AHMAT-B5,0,2,1,1,0,0,2,1,1,6
9042,292951336,AHMAT-B5,0,3,0,0,0,0,2,1,1,4
9043,292952169,AHMAT-B5,0,4,0,0,0,0,1,0,1,2
9044,292958551,AHMAT-B5,0,5,1,1,0,0,2,1,1,6
9045,292959086,AHMAT-B5,0,6,1,1,0,0,1,1,1,5
9046,292961577,AHMAT-B5,0,7,0,0,0,1,2,1,1,5
9047,292961809,AHMAT-B5,0,8,1,1,0,0,1,1,0,4
9048,292964300,AHMAT-B5,0,9,0,0,0,0,1,1,1,3
9049,292971270,AHMAT-B5,0,10,0,0,0,1,2,1,1,5
9050,292972602,AHMAT-B5,0,11,0,0,0,0,0,0,0,0
9051,292977012,AHMAT-B5,1,12,0,0,0,1,2,1,1,5
9052,292977045,AHMAT-B5,1,13,0,0,0,1,2,1,1,5
9053,292977556,AHMAT-B5,1,14,0,0,0,1,2,1,1,5
9054,292977799,AHMAT-B5,0,15,0,0,0,1,2,1,1,5
9055,292978800,AHMAT-B5,1,16,0,0,0,1,2,1,1,5
9056,293654798,AHMAT-B5,0,17,1,1,0,0,1,1,1,5
9057,293658564,AHMAT-B5,1,18,0,0,0,0,2,1,1,4
9058,293659148,AHMAT-B5,1,19,0,0,0,1,2,1,1,5
9059,293659335,AHMAT-B5,1,20,0,0,0,1,2,1,1,5
