,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
9340,292674924,ARandomPerson420,0,1,3,1,1,2,2,2,2,13
9341,292677170,ARandomPerson420,1,2,3,3,0,2,2,2,1,13
9342,292677570,ARandomPerson420,1,3,1,1,0,1,2,1,1,7
9343,292679122,ARandomPerson420,0,4,1,1,0,0,2,1,1,6
9344,294165390,ARandomPerson420,0,5,3,3,1,3,2,2,2,16
9345,296659658,ARandomPerson420,1,6,3,1,0,2,2,1,1,10
9346,296698544,ARandomPerson420,1,7,1,1,0,1,2,1,1,7
9347,296698972,ARandomPerson420,1,8,1,1,0,1,2,1,1,7
9348,296700304,ARandomPerson420,1,9,1,3,0,2,2,1,2,11
9349,296766902,ARandomPerson420,0,10,1,2,0,1,2,2,2,10
9350,296994288,ARandomPerson420,1,11,1,1,3,1,3,2,2,13
9351,298056745,ARandomPerson420,0,12,1,3,1,3,3,2,2,15
9352,298622959,ARandomPerson420,0,13,1,1,0,1,2,1,1,7
9353,300566091,ARandomPerson420,0,14,3,1,1,3,3,2,2,15
9354,302530246,ARandomPerson420,0,15,1,1,1,2,3,2,2,12
9355,302556357,ARandomPerson420,1,16,3,3,3,3,3,2,2,19
9356,303814111,ARandomPerson420,0,17,3,2,1,1,3,2,2,14
9357,305199187,ARandomPerson420,1,18,3,3,3,3,3,2,3,20
9358,305911857,ARandomPerson420,1,19,3,3,3,3,3,2,3,20
9359,316440138,ARandomPerson420,0,20,3,3,3,2,3,2,2,18
