,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
9520,289597167,AZTroisieme,0,1,1,1,0,1,2,1,1,7
9521,290769558,AZTroisieme,0,2,1,1,0,0,2,1,1,6
9522,290818613,AZTroisieme,0,3,1,1,0,0,2,1,1,6
9523,290820494,AZTroisieme,0,4,0,0,0,0,2,1,1,4
9524,290897560,AZTroisieme,0,5,1,1,0,0,2,1,1,6
9525,293301217,AZTroisieme,0,6,1,1,0,1,1,1,1,6
9526,293453513,AZTroisieme,0,7,0,0,0,1,2,2,1,6
9527,294433893,AZTroisieme,0,8,1,1,0,1,2,1,1,7
9528,294510145,AZTroisieme,0,9,1,1,0,1,2,1,1,7
9529,294571689,AZTroisieme,0,10,1,1,0,1,1,1,1,6
9530,294663870,AZTroisieme,0,11,1,1,0,1,2,1,1,7
9531,294667123,AZTroisieme,0,12,0,0,2,0,1,2,0,5
9532,296549891,AZTroisieme,0,13,0,0,0,0,1,1,0,2
9533,297333959,AZTroisieme,0,14,1,2,0,0,1,2,1,7
9534,297851313,AZTroisieme,0,15,0,0,2,0,1,2,0,5
9535,298201853,AZTroisieme,0,16,0,0,2,1,1,2,0,6
9536,299256602,AZTroisieme,0,17,1,1,0,1,2,1,1,7
9537,299398204,AZTroisieme,0,18,0,0,0,0,1,1,0,2
9538,299400619,AZTroisieme,0,19,0,0,0,0,1,1,0,2
9539,299899155,AZTroisieme,0,20,0,0,0,0,1,1,0,2
