,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
9580,285255674,AbaDapa,0,1,1,0,0,0,1,0,1,3
9581,286055372,AbaDapa,0,2,1,0,0,0,1,0,0,2
9582,286663758,AbaDapa,0,3,1,0,0,0,1,2,1,5
9583,288538732,AbaDapa,1,4,1,1,0,1,2,1,1,7
9584,288821478,AbaDapa,0,5,1,0,0,0,1,2,0,4
9585,289674570,AbaDapa,0,6,1,1,0,0,1,1,0,4
9586,290333671,AbaDapa,0,7,1,1,0,0,1,1,1,5
9587,291144744,AbaDapa,0,8,1,0,0,0,1,2,1,5
9588,291830908,AbaDapa,1,9,0,0,0,0,2,1,1,4
9589,291832926,AbaDapa,1,10,0,0,0,1,2,1,1,5
9590,292472955,AbaDapa,0,11,1,0,0,0,1,2,1,5
9591,293383521,AbaDapa,0,12,2,1,0,0,1,1,1,6
9592,294064831,AbaDapa,0,13,1,1,0,0,1,1,0,4
9593,294934295,AbaDapa,0,14,1,0,0,1,1,2,1,6
9594,295628464,AbaDapa,1,15,2,1,0,1,1,1,0,6
9595,295641195,AbaDapa,1,16,1,1,0,2,1,1,1,7
9596,295648016,AbaDapa,1,17,1,3,0,3,2,2,1,12
9597,296487738,AbaDapa,0,18,1,0,0,1,1,2,0,5
9598,296495872,AbaDapa,1,19,2,1,0,1,2,2,1,9
9599,296500397,AbaDapa,1,20,2,1,0,1,2,1,1,8
