,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
11060,285328104,Americaball_YT,1,1,3,3,3,3,3,1,2,18
11061,285330327,Americaball_YT,0,2,1,0,0,0,2,2,2,7
11062,285499387,Americaball_YT,0,3,1,1,0,1,2,2,1,8
11063,285708606,Americaball_YT,1,4,1,1,0,1,2,2,1,8
11064,285717032,Americaball_YT,1,5,3,3,2,3,3,1,2,17
11065,286605794,Americaball_YT,1,6,1,1,1,0,2,2,1,8
11066,288968246,Americaball_YT,1,7,3,1,2,2,3,2,3,16
11067,289057584,Americaball_YT,1,8,3,3,3,3,3,1,2,18
11068,289075333,Americaball_YT,1,9,1,1,0,1,1,2,1,7
11069,293374085,Americaball_YT,1,10,2,3,3,2,2,1,2,15
11070,296546283,Americaball_YT,1,11,3,3,3,3,3,1,2,18
11071,297763573,Americaball_YT,0,12,1,1,0,1,2,1,0,6
11072,297775110,Americaball_YT,1,13,1,3,0,3,2,1,1,11
11073,297839634,Americaball_YT,1,14,3,3,2,3,3,2,2,18
11074,297867517,Americaball_YT,1,15,1,3,1,2,2,2,2,13
11075,297876651,Americaball_YT,0,16,0,0,0,0,1,1,0,2
11076,298041553,Americaball_YT,1,17,1,1,1,1,2,1,1,8
11077,298089392,Americaball_YT,1,18,1,3,0,2,3,2,3,14
11078,298183286,Americaball_YT,1,19,1,3,2,2,3,2,2,15
11079,298191184,Americaball_YT,0,20,1,1,0,1,1,1,1,6
