,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
11160,292120699,AnaJuliaOrfaneli,0,1,0,0,3,0,1,2,2,8
11161,292122768,AnaJuliaOrfaneli,0,2,0,0,0,0,0,0,0,0
11162,292124926,AnaJuliaOrfaneli,0,3,0,0,0,0,0,0,0,0
11163,292262510,AnaJuliaOrfaneli,1,4,0,0,0,0,1,2,2,5
11164,292262664,AnaJuliaOrfaneli,1,5,0,0,3,0,1,2,2,8
11165,292262853,AnaJuliaOrfaneli,1,6,0,0,3,0,1,2,2,8
11166,292262932,AnaJuliaOrfaneli,1,7,0,0,0,0,1,2,2,5
11167,292263003,AnaJuliaOrfaneli,1,8,0,0,3,0,1,2,2,8
11168,293009679,AnaJuliaOrfaneli,0,9,0,0,0,0,1,2,2,5
11169,293019959,AnaJuliaOrfaneli,0,10,0,0,0,0,1,2,2,5
11170,293027625,AnaJuliaOrfaneli,0,11,0,0,3,0,1,2,2,8
11171,293033423,AnaJuliaOrfaneli,0,12,0,0,3,0,1,2,2,8
11172,293056512,AnaJuliaOrfaneli,0,13,0,0,3,0,1,2,2,8
11173,293065988,AnaJuliaOrfaneli,0,14,0,0,0,0,1,2,2,5
11174,293067536,AnaJuliaOrfaneli,0,15,0,0,0,0,1,2,2,5
11175,293087975,AnaJuliaOrfaneli,0,16,0,0,0,0,1,2,2,5
11176,293121623,AnaJuliaOrfaneli,0,17,0,0,0,0,1,2,2,5
11177,293123414,AnaJuliaOrfaneli,0,18,0,0,0,0,1,2,2,5
11178,293124682,AnaJuliaOrfaneli,0,19,0,0,0,0,1,2,2,5
11179,293126312,AnaJuliaOrfaneli,0,20,0,0,0,0,1,2,2,5
