,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
12260,276937051,Artemisarte,0,1,2,3,0,2,3,2,1,13
12261,277314136,Artemisarte,0,2,2,3,2,2,2,2,3,16
12262,277706058,Artemisarte,1,3,2,3,3,3,3,2,2,18
12263,291455470,Artemisarte,0,4,0,0,2,1,2,2,2,9
12264,291455588,Artemisarte,0,5,1,0,0,0,2,0,1,4
12265,291465352,Artemisarte,0,6,0,0,0,1,2,1,2,6
12266,292589045,Artemisarte,0,7,0,0,0,1,2,1,2,6
12267,292592924,Artemisarte,0,8,0,0,0,1,2,1,2,6
12268,292782095,Artemisarte,1,9,0,0,0,1,2,1,1,5
12269,293003433,Artemisarte,0,10,2,0,0,1,2,1,1,7
12270,299331593,Artemisarte,0,11,1,0,0,1,2,2,1,7
12271,299334933,Artemisarte,0,12,2,0,0,1,2,1,1,7
12272,299339267,Artemisarte,0,13,2,0,0,1,2,1,1,7
12273,299355130,Artemisarte,0,14,1,0,0,1,2,2,1,7
12274,299359005,Artemisarte,0,15,0,0,0,0,0,0,0,0
12275,300457944,Artemisarte,0,16,0,0,0,0,2,1,1,4
12276,300458352,Artemisarte,0,17,0,0,0,0,2,1,1,4
12277,300458685,Artemisarte,0,18,0,0,0,0,2,1,1,4
12278,300458983,Artemisarte,0,19,0,0,0,0,2,1,1,4
12279,300459286,Artemisarte,0,20,0,0,0,0,2,1,1,4
