,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
12800,284303662,B00astedM0nkey,0,1,0,0,0,0,1,1,1,3
12801,284575976,B00astedM0nkey,0,2,0,0,0,0,1,1,1,3
12802,284874121,B00astedM0nkey,0,3,1,2,0,0,2,2,1,8
12803,286003828,B00astedM0nkey,1,4,1,1,0,1,2,1,1,7
12804,286619113,B00astedM0nkey,1,5,1,1,0,1,2,2,1,8
12805,287213149,B00astedM0nkey,1,6,3,1,1,1,2,2,1,11
12806,288186270,B00astedM0nkey,0,7,3,2,0,2,2,2,2,13
12807,288764752,B00astedM0nkey,1,8,3,2,3,1,3,2,1,15
12808,289618141,B00astedM0nkey,1,9,1,0,1,2,2,2,2,10
12809,290281790,B00astedM0nkey,1,10,1,2,3,2,3,2,1,14
12810,291102317,B00astedM0nkey,0,11,1,2,3,1,3,2,1,13
12811,291759154,B00astedM0nkey,1,12,3,2,3,0,3,2,2,15
12812,293673754,B00astedM0nkey,1,13,1,1,3,3,2,2,2,14
12813,294886334,B00astedM0nkey,1,14,1,1,1,1,2,2,2,10
12814,295576303,B00astedM0nkey,1,15,1,3,2,3,2,2,1,14
12815,296436030,B00astedM0nkey,1,16,1,1,3,1,3,2,1,12
12816,297011613,B00astedM0nkey,1,17,1,1,3,2,3,2,2,14
12817,297718328,B00astedM0nkey,1,18,3,1,1,1,3,2,1,12
12818,298069003,B00astedM0nkey,1,19,1,1,0,2,1,2,0,7
12819,299282536,B00astedM0nkey,0,20,1,1,0,1,2,2,1,8
