,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
12900,337289577,BAboUcHkA2,0,1,0,0,0,0,2,1,0,3
12901,338144389,BAboUcHkA2,0,2,1,1,0,2,2,1,1,8
12902,338697576,BAboUcHkA2,0,3,1,1,0,1,2,1,1,7
12903,338703641,BAboUcHkA2,0,4,1,1,0,1,2,1,1,7
12904,338708283,BAboUcHkA2,0,5,1,1,0,1,2,1,1,7
12905,338711689,BAboUcHkA2,0,6,1,1,0,1,2,1,1,7
12906,338713203,BAboUcHkA2,0,7,1,1,0,1,2,1,1,7
12907,338714847,BAboUcHkA2,0,8,1,1,0,1,1,1,1,6
12908,338828040,BAboUcHkA2,0,9,1,1,0,1,1,1,1,6
12909,338830519,BAboUcHkA2,0,10,1,1,0,2,2,1,1,8
12910,338834390,BAboUcHkA2,0,11,1,1,0,2,1,1,1,7
12911,338835780,BAboUcHkA2,0,12,1,1,0,2,1,1,1,7
12912,339886927,BAboUcHkA2,0,13,0,0,0,1,2,2,2,7
12913,340010141,BAboUcHkA2,0,14,0,0,2,1,2,2,2,9
12914,341819166,BAboUcHkA2,0,15,2,3,1,2,2,2,2,14
12915,344397789,BAboUcHkA2,1,16,3,3,3,3,3,2,3,20
12916,344942605,BAboUcHkA2,1,17,3,3,3,3,3,2,2,19
12917,344955444,BAboUcHkA2,0,18,2,1,1,2,2,2,2,12
12918,345363616,BAboUcHkA2,0,19,1,1,0,2,2,1,1,8
12919,346136568,BAboUcHkA2,0,20,0,0,2,1,1,2,2,8
