,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
13020,305078374,BJLFELIPE,0,1,0,0,0,0,1,1,0,2
13021,305079098,BJLFELIPE,0,2,1,1,0,1,1,1,1,6
13022,305082415,BJLFELIPE,0,3,1,1,0,1,1,1,1,6
13023,305154448,BJLFELIPE,0,4,1,1,0,1,1,1,1,6
13024,305161945,BJLFELIPE,0,5,1,1,0,1,1,1,1,6
13025,305258529,BJLFELIPE,0,6,1,1,0,1,1,1,1,6
13026,305276311,BJLFELIPE,0,7,1,1,0,1,1,1,1,6
13027,305280862,BJLFELIPE,0,8,1,1,0,1,1,1,1,6
13028,305419522,BJLFELIPE,0,9,1,1,0,1,1,1,1,6
13029,305578309,BJLFELIPE,0,10,1,1,0,1,1,1,1,6
13030,305580580,BJLFELIPE,0,11,1,1,0,1,1,1,1,6
13031,305872356,BJLFELIPE,0,12,1,1,0,1,1,2,1,7
13032,305990316,BJLFELIPE,0,13,1,1,0,1,1,1,0,5
13033,306055865,BJLFELIPE,0,14,1,2,0,0,1,2,1,7
13034,306111594,BJLFELIPE,0,15,1,1,0,1,1,2,1,7
13035,306421471,BJLFELIPE,0,16,1,1,0,1,1,2,1,7
13036,306427728,BJLFELIPE,0,17,1,1,0,1,1,2,1,7
13037,306777196,BJLFELIPE,0,18,1,0,0,1,1,2,1,6
13038,308000925,BJLFELIPE,0,19,1,2,0,1,1,2,1,8
13039,314289180,BJLFELIPE,0,20,0,0,0,0,1,1,0,2
