,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
14700,310666972,Bolt_The_Dragon,1,1,1,3,0,2,2,1,1,10
14701,310912713,Bolt_The_Dragon,1,2,1,1,2,2,2,1,2,11
14702,310933398,Bolt_The_Dragon,1,3,2,1,0,2,2,1,2,10
14703,312028383,Bolt_The_Dragon,0,4,1,3,0,3,2,1,1,11
14704,312050625,Bolt_The_Dragon,1,5,1,3,0,2,2,1,1,10
14705,312056485,Bolt_The_Dragon,1,6,1,3,0,2,2,1,1,10
14706,312454935,Bolt_The_Dragon,0,7,1,3,2,1,2,2,2,13
14707,313080098,Bolt_The_Dragon,1,8,3,3,0,2,2,2,1,13
14708,313275779,Bolt_The_Dragon,1,9,1,0,0,0,2,2,1,6
14709,313630756,Bolt_The_Dragon,1,10,3,3,0,2,2,1,1,12
14710,315891111,Bolt_The_Dragon,1,11,3,3,0,2,2,1,1,12
14711,316003264,Bolt_The_Dragon,1,12,0,0,0,0,2,1,0,3
14712,316430177,Bolt_The_Dragon,0,13,3,3,0,2,2,1,1,12
14713,317127621,Bolt_The_Dragon,1,14,1,1,0,2,2,1,1,8
14714,317333946,Bolt_The_Dragon,1,15,0,0,0,0,1,1,1,3
14715,317404420,Bolt_The_Dragon,0,16,1,1,2,1,2,2,2,11
14716,317436301,Bolt_The_Dragon,0,17,1,1,0,2,2,1,1,8
14717,317920698,Bolt_The_Dragon,1,18,1,1,0,2,2,1,2,9
14718,317942814,Bolt_The_Dragon,1,19,1,0,0,0,1,2,1,5
14719,318102500,Bolt_The_Dragon,1,20,1,3,0,2,2,1,1,10
