,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
15420,280793932,Buildmaster0303,0,1,1,1,0,1,1,1,0,5
15421,280910584,Buildmaster0303,0,2,0,0,0,1,2,1,1,5
15422,282329370,Buildmaster0303,0,3,1,1,0,1,2,2,1,8
15423,283908339,Buildmaster0303,0,4,1,1,0,0,2,1,1,6
15424,284678182,Buildmaster0303,0,5,0,0,0,0,2,1,1,4
15425,285273964,Buildmaster0303,1,6,0,0,0,0,2,1,1,4
15426,285286643,Buildmaster0303,1,7,3,1,0,0,2,1,3,10
15427,285314314,Buildmaster0303,1,8,1,1,0,0,2,1,1,6
15428,285592517,Buildmaster0303,0,9,0,0,0,0,2,1,1,4
15429,287011931,Buildmaster0303,0,10,0,0,0,0,1,1,1,3
15430,287368043,Buildmaster0303,0,11,0,0,0,0,1,1,1,3
15431,287403823,Buildmaster0303,0,12,0,0,0,0,1,2,0,3
15432,287487245,Buildmaster0303,0,13,1,1,0,1,1,1,1,6
15433,287489875,Buildmaster0303,0,14,0,0,0,0,1,2,0,3
15434,288864550,Buildmaster0303,0,15,1,1,0,1,2,1,1,7
15435,288866899,Buildmaster0303,0,16,0,0,0,0,0,0,0,0
15436,289389020,Buildmaster0303,0,17,1,1,0,1,1,1,1,6
15437,289734044,Buildmaster0303,0,18,1,2,0,1,2,2,1,9
15438,290672914,Buildmaster0303,0,19,0,0,0,1,2,1,1,5
15439,294987708,Buildmaster0303,0,20,0,0,0,0,1,1,0,2
