,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
15560,282682573,C9Blasberg,0,1,1,0,0,0,1,2,1,5
15561,285114265,C9Blasberg,0,2,1,2,0,1,2,2,1,9
15562,286232861,C9Blasberg,0,3,1,2,0,0,1,2,0,6
15563,287163208,C9Blasberg,0,4,1,1,0,0,2,1,1,6
15564,288711619,C9Blasberg,0,5,1,1,0,1,1,1,1,6
15565,289549949,C9Blasberg,0,6,0,0,0,1,2,1,1,5
15566,290216960,C9Blasberg,0,7,1,1,0,1,2,1,1,7
15567,291352271,C9Blasberg,0,8,2,1,0,1,2,1,1,8
15568,292028414,C9Blasberg,0,9,2,1,0,2,1,1,0,7
15569,292367039,C9Blasberg,0,10,1,3,0,3,1,1,1,10
15570,293609345,C9Blasberg,0,11,1,1,0,2,2,1,1,8
15571,293614864,C9Blasberg,1,12,2,1,0,2,2,1,1,9
15572,293939357,C9Blasberg,1,13,1,3,0,2,2,1,1,10
15573,294828380,C9Blasberg,1,14,3,3,1,2,2,2,2,15
15574,298333596,C9Blasberg,0,15,1,1,0,0,2,1,1,6
15575,299641538,C9Blasberg,0,16,3,3,1,2,2,2,2,15
15576,301903028,C9Blasberg,0,17,1,3,0,3,1,1,1,10
15577,302680008,C9Blasberg,0,18,0,0,0,0,2,2,1,5
15578,309833079,C9Blasberg,1,19,0,0,0,1,1,1,1,4
15579,313464821,C9Blasberg,0,20,1,3,0,3,2,1,1,11
