,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
16640,326754988,CartrobeM,0,1,1,1,0,1,1,1,1,6
16641,328033669,CartrobeM,0,2,1,1,0,1,1,1,1,6
16642,335990557,CartrobeM,1,3,3,3,3,3,3,2,2,19
16643,336393933,CartrobeM,1,4,3,3,3,2,3,2,2,18
16644,338814031,CartrobeM,1,5,0,0,0,1,1,1,1,4
16645,339644142,CartrobeM,0,6,1,3,0,2,2,1,1,10
16646,339732710,CartrobeM,0,7,1,3,0,3,2,2,1,12
16647,339851813,CartrobeM,0,8,1,3,3,3,2,2,2,16
16648,340054961,CartrobeM,0,9,1,3,0,2,2,1,1,10
16649,340392456,CartrobeM,0,10,0,0,0,0,0,0,0,0
16650,341404363,CartrobeM,0,11,1,1,0,1,2,1,1,7
16651,341569276,CartrobeM,0,12,3,0,1,0,2,1,2,9
16652,341944235,CartrobeM,1,13,1,1,0,1,2,2,1,8
16653,342064893,CartrobeM,1,14,1,1,1,0,2,2,1,8
16654,342684973,CartrobeM,0,15,1,1,0,1,2,1,1,7
16655,343223793,CartrobeM,1,16,3,3,1,3,2,1,2,15
16656,343581148,CartrobeM,1,17,3,3,3,3,3,2,2,19
16657,343591882,CartrobeM,1,18,3,3,3,3,3,2,2,19
16658,343924559,CartrobeM,1,19,3,1,1,1,2,1,2,11
16659,344006685,CartrobeM,1,20,3,3,3,3,3,2,2,19
