,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
16680,294234511,CastroCarreno2006,0,1,0,0,0,1,1,1,1,4
16681,295766365,CastroCarreno2006,0,2,1,1,0,1,1,1,1,6
16682,295778689,CastroCarreno2006,0,3,0,0,0,1,1,1,1,4
16683,295785561,CastroCarreno2006,0,4,0,0,0,1,2,1,1,5
16684,296330674,CastroCarreno2006,0,5,1,1,0,1,2,1,1,7
16685,298692680,CastroCarreno2006,0,6,1,1,1,2,3,2,1,11
16686,298695340,CastroCarreno2006,0,7,1,2,1,1,1,2,1,9
16687,298698187,CastroCarreno2006,0,8,0,0,0,0,0,0,0,0
16688,299965071,CastroCarreno2006,0,9,1,3,1,2,2,1,2,12
16689,300353197,CastroCarreno2006,0,10,1,3,1,2,2,1,2,12
16690,302534399,CastroCarreno2006,0,11,1,3,1,2,2,1,2,12
16691,304597836,CastroCarreno2006,0,12,1,1,1,1,2,2,1,9
16692,310068263,CastroCarreno2006,0,13,1,3,1,3,2,2,2,14
16693,312613393,CastroCarreno2006,0,14,1,3,1,3,3,2,2,15
16694,338198133,CastroCarreno2006,0,15,0,0,2,2,1,2,2,9
16695,339294811,CastroCarreno2006,0,16,0,0,3,2,1,2,2,10
16696,340120435,CastroCarreno2006,0,17,0,0,3,2,1,2,2,10
16697,340124348,CastroCarreno2006,0,18,0,0,2,1,1,2,0,6
16698,340126835,CastroCarreno2006,0,19,0,0,3,2,1,2,2,10
16699,343190950,CastroCarreno2006,0,20,1,2,1,1,1,2,2,10
