,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
16980,277509955,Cheetah60D,0,1,1,3,0,2,2,1,1,10
16981,277523910,Cheetah60D,0,2,1,3,0,2,2,1,1,10
16982,277527296,Cheetah60D,1,3,1,3,0,2,2,1,1,10
16983,277532731,Cheetah60D,1,4,1,3,0,2,2,1,1,10
16984,277538004,Cheetah60D,1,5,1,3,0,2,2,1,1,10
16985,277644480,Cheetah60D,0,6,1,3,0,3,3,1,1,12
16986,277681530,Cheetah60D,1,7,3,3,3,2,3,1,2,17
16987,277760725,Cheetah60D,0,8,1,1,0,3,2,1,1,9
16988,277796885,Cheetah60D,1,9,3,3,3,3,3,2,3,20
16989,277800837,Cheetah60D,1,10,3,3,3,3,3,2,3,20
16990,277803334,Cheetah60D,1,11,3,3,3,3,3,2,3,20
16991,277808132,Cheetah60D,1,12,3,3,3,2,3,2,2,18
16992,278089429,Cheetah60D,1,13,3,3,3,3,3,2,3,20
16993,278098112,Cheetah60D,1,14,3,3,3,3,3,2,3,20
16994,278108757,Cheetah60D,1,15,3,1,3,1,3,2,2,15
16995,278114495,Cheetah60D,1,16,1,3,0,3,2,1,1,11
16996,278116611,Cheetah60D,1,17,1,3,0,2,2,1,1,10
16997,278118220,Cheetah60D,1,18,1,2,3,3,3,2,2,16
16998,278242947,Cheetah60D,1,19,1,1,3,1,3,2,2,13
16999,278393415,Cheetah60D,1,20,3,3,3,3,3,2,2,19
