,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
17160,284352091,ChingCoding123,0,1,1,0,0,1,1,2,1,6
17161,284357238,ChingCoding123,0,2,1,2,0,0,2,2,1,8
17162,284628501,ChingCoding123,0,3,1,0,0,1,2,2,0,6
17163,285026116,ChingCoding123,0,4,1,2,0,2,2,2,2,11
17164,285026842,ChingCoding123,0,5,1,1,1,0,2,2,2,9
17165,285195257,ChingCoding123,0,6,0,0,0,1,1,3,1,6
17166,285231533,ChingCoding123,0,7,1,2,0,0,2,2,1,8
17167,286007216,ChingCoding123,0,8,0,0,2,0,1,2,2,7
17168,286015856,ChingCoding123,0,9,1,1,2,0,1,2,2,9
17169,286022009,ChingCoding123,0,10,0,0,2,0,1,2,2,7
17170,286024082,ChingCoding123,0,11,1,1,3,0,1,2,2,10
17171,286035291,ChingCoding123,0,12,1,1,3,0,1,2,2,10
17172,286136087,ChingCoding123,0,13,0,0,3,1,1,2,2,9
17173,286549572,ChingCoding123,0,14,0,0,2,0,1,2,2,7
17174,286557248,ChingCoding123,0,15,1,1,2,0,1,2,2,9
17175,286568322,ChingCoding123,0,16,1,1,2,0,1,2,2,9
17176,286638506,ChingCoding123,0,17,1,1,3,0,1,2,2,10
17177,288224968,ChingCoding123,0,18,0,0,2,0,2,2,2,8
17178,288227878,ChingCoding123,0,19,0,0,2,0,3,2,2,9
17179,288232377,ChingCoding123,0,20,0,0,2,0,3,2,2,9
