,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
17320,279563550,Chris136_,0,1,0,0,0,1,1,1,1,4
17321,279892151,Chris136_,0,2,0,0,0,1,1,1,1,4
17322,280195341,Chris136_,0,3,0,0,0,1,1,1,1,4
17323,280201585,Chris136_,0,4,1,1,0,0,1,1,1,5
17324,281487375,Chris136_,0,5,1,1,0,1,2,1,1,7
17325,281489867,Chris136_,0,6,1,1,0,1,2,1,1,7
17326,281776192,Chris136_,0,7,1,1,0,0,2,1,1,6
17327,281781474,Chris136_,0,8,1,0,1,2,3,2,1,10
17328,282831881,Chris136_,0,9,1,3,0,3,3,1,1,12
17329,284992925,Chris136_,0,10,1,2,0,0,3,2,2,10
17330,286403906,Chris136_,0,11,0,0,0,0,0,0,0,0
17331,286723682,Chris136_,0,12,1,0,0,3,1,2,2,9
17332,286725945,Chris136_,0,13,1,1,0,2,1,1,2,8
17333,287545059,Chris136_,0,14,1,2,0,1,2,2,2,10
17334,287547490,Chris136_,0,15,1,1,3,2,2,1,2,12
17335,287563021,Chris136_,0,16,1,2,1,3,1,2,2,12
17336,287566889,Chris136_,0,17,0,0,2,0,2,2,0,6
17337,288574513,Chris136_,0,18,2,0,1,0,2,2,3,10
17338,289081506,Chris136_,0,19,0,0,1,0,2,2,3,8
17339,289083395,Chris136_,0,20,2,1,1,1,2,1,1,9
