,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
18540,280167748,CrazySonicGamer,1,1,2,3,3,2,2,2,2,16
18541,280820142,CrazySonicGamer,1,2,1,2,0,1,1,2,1,8
18542,280875973,CrazySonicGamer,1,3,3,1,0,1,2,1,1,9
18543,280877557,CrazySonicGamer,1,4,0,0,0,0,2,1,0,3
18544,280879125,CrazySonicGamer,1,5,1,2,0,3,2,2,1,11
18545,280888148,CrazySonicGamer,1,6,1,3,0,3,2,2,1,12
18546,280907725,CrazySonicGamer,1,7,2,0,0,1,1,1,1,6
18547,280912119,CrazySonicGamer,1,8,1,1,0,2,2,2,1,9
18548,280919657,CrazySonicGamer,1,9,2,1,0,2,1,2,1,9
18549,280932771,CrazySonicGamer,0,10,1,1,0,2,2,1,1,8
18550,281135433,CrazySonicGamer,0,11,1,1,0,2,2,2,1,9
18551,281161107,CrazySonicGamer,0,12,1,1,0,3,2,2,1,10
18552,281182031,CrazySonicGamer,0,13,1,1,0,3,2,2,2,11
18553,281208142,CrazySonicGamer,1,14,1,2,0,1,3,2,1,10
18554,281320974,CrazySonicGamer,1,15,1,3,0,2,1,1,1,9
18555,281758055,CrazySonicGamer,1,16,3,3,2,3,3,2,2,18
18556,281763859,CrazySonicGamer,0,17,2,3,2,3,2,1,2,15
18557,281775623,CrazySonicGamer,0,18,1,1,0,3,2,2,1,10
18558,282055666,CrazySonicGamer,0,19,2,1,0,1,2,1,1,8
18559,282065596,CrazySonicGamer,1,20,1,3,0,3,2,2,1,12
