,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
19240,297443601,D6TL,0,1,1,1,0,1,1,2,1,7
19241,297451777,D6TL,0,2,1,1,0,1,2,1,1,7
19242,299355304,D6TL,0,3,1,1,0,1,2,1,1,7
19243,299360536,D6TL,0,4,1,0,0,0,2,2,1,6
19244,301377955,D6TL,0,5,0,0,0,1,1,1,1,4
19245,301381976,D6TL,0,6,1,2,0,0,2,2,1,8
19246,301386146,D6TL,0,7,1,1,0,1,1,1,1,6
19247,303299483,D6TL,0,8,2,0,0,0,1,2,1,6
19248,303534563,D6TL,1,9,1,1,0,2,2,1,1,8
19249,304543649,D6TL,1,10,0,0,0,0,2,1,1,4
19250,304550812,D6TL,0,11,1,1,0,1,2,1,1,7
19251,305043620,D6TL,0,12,1,1,0,1,1,1,1,6
19252,305846814,D6TL,0,13,0,0,0,1,2,1,1,5
19253,306087350,D6TL,0,14,0,0,0,1,1,1,0,3
19254,312469495,D6TL,0,15,1,1,0,1,1,1,1,6
19255,312781898,D6TL,0,16,1,1,0,1,2,1,1,7
19256,312796520,D6TL,0,17,1,1,0,1,1,1,1,6
19257,325530988,D6TL,0,18,1,1,0,1,1,1,1,6
19258,325691719,D6TL,0,19,1,1,0,1,1,1,1,6
19259,325824188,D6TL,0,20,1,1,0,1,1,1,1,6
