,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
19380,336895453,DEEJMARVEL,0,1,1,0,3,0,3,2,2,11
19381,336895616,DEEJMARVEL,0,2,1,1,0,1,1,1,1,6
19382,337223905,DEEJMARVEL,0,3,1,1,1,0,2,1,1,7
19383,337230975,DEEJMARVEL,0,4,0,0,1,2,2,1,1,7
19384,337526430,DEEJMARVEL,0,5,1,0,1,0,2,2,1,7
19385,337540502,DEEJMARVEL,0,6,1,0,1,0,3,2,1,8
19386,338071126,DEEJMARVEL,0,7,1,1,1,0,3,2,1,9
19387,338079505,DEEJMARVEL,0,8,1,0,1,0,3,2,1,8
19388,338083711,DEEJMARVEL,0,9,1,1,1,0,2,1,2,8
19389,338418855,DEEJMARVEL,0,10,1,1,0,2,3,2,1,10
19390,338433205,DEEJMARVEL,0,11,1,0,1,0,3,2,2,9
19391,338777054,DEEJMARVEL,0,12,1,1,1,0,3,2,2,10
19392,338797153,DEEJMARVEL,0,13,1,1,1,0,3,2,2,10
19393,339145064,DEEJMARVEL,0,14,1,3,1,2,3,2,2,14
19394,339446951,DEEJMARVEL,0,15,3,1,1,2,2,2,2,13
19395,339462062,DEEJMARVEL,0,16,3,1,1,0,3,2,2,12
19396,339991320,DEEJMARVEL,0,17,3,1,1,2,3,2,2,14
19397,340000070,DEEJMARVEL,0,18,3,1,1,2,3,2,2,14
19398,340001762,DEEJMARVEL,0,19,3,1,1,1,3,2,2,13
19399,340332814,DEEJMARVEL,0,20,3,1,1,3,3,1,2,14
