,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
19920,285241202,DWN123,0,1,0,0,0,3,3,2,1,9
19921,286053741,DWN123,0,2,0,0,0,0,1,1,1,3
19922,287250598,DWN123,0,3,1,1,0,0,2,1,1,6
19923,288539723,DWN123,1,4,1,1,0,1,2,1,1,7
19924,288540513,DWN123,1,5,1,0,0,3,3,1,1,9
19925,288817560,DWN123,1,6,1,0,0,0,1,2,1,5
19926,289672186,DWN123,0,7,1,1,0,1,2,1,1,7
19927,290332926,DWN123,0,8,1,1,0,0,2,1,1,6
19928,291143261,DWN123,0,9,1,1,0,1,2,1,1,7
19929,291819653,DWN123,1,10,1,0,0,1,2,2,1,7
19930,291823853,DWN123,1,11,1,1,1,3,3,1,1,11
19931,291828690,DWN123,1,12,0,0,0,0,2,1,1,4
19932,291830573,DWN123,1,13,0,0,0,1,3,1,1,6
19933,291832592,DWN123,1,14,1,0,0,0,1,2,1,5
19934,291833203,DWN123,1,15,1,0,0,0,1,2,1,5
19935,292480858,DWN123,0,16,1,1,0,0,2,1,1,6
19936,293377298,DWN123,0,17,1,1,0,2,2,1,0,7
19937,294937320,DWN123,0,18,2,1,0,1,1,1,1,7
19938,295625710,DWN123,1,19,2,1,0,1,1,1,0,6
19939,295628919,DWN123,1,20,2,0,0,0,2,2,2,8
