,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
20740,283431047,Dawn-Reaper,0,1,1,1,0,1,2,2,1,8
20741,283443651,Dawn-Reaper,0,2,0,0,0,0,0,0,0,0
20742,283448825,Dawn-Reaper,0,3,1,1,0,1,2,1,1,7
20743,283561537,Dawn-Reaper,0,4,0,0,0,0,0,0,0,0
20744,283562411,Dawn-Reaper,0,5,0,0,0,0,0,0,0,0
20745,283564008,Dawn-Reaper,0,6,0,0,0,0,0,0,0,0
20746,283564668,Dawn-Reaper,0,7,0,0,0,0,0,0,0,0
20747,283566884,Dawn-Reaper,0,8,0,0,0,0,0,0,0,0
20748,283585254,Dawn-Reaper,0,9,0,0,0,0,0,0,0,0
20749,283585746,Dawn-Reaper,0,10,0,0,0,0,0,0,0,0
20750,283625216,Dawn-Reaper,0,11,0,0,0,0,0,0,0,0
20751,283625894,Dawn-Reaper,0,12,1,0,0,0,1,2,1,5
20752,283699173,Dawn-Reaper,1,13,1,1,0,3,2,2,2,11
20753,283891483,Dawn-Reaper,0,14,0,0,0,0,0,0,0,0
20754,283937856,Dawn-Reaper,1,15,1,1,0,3,1,2,1,9
20755,283940666,Dawn-Reaper,0,16,1,0,0,0,1,2,0,4
20756,283956716,Dawn-Reaper,0,17,1,1,0,3,2,2,1,10
20757,283964781,Dawn-Reaper,1,18,0,0,0,0,1,2,1,4
20758,284046209,Dawn-Reaper,1,19,0,0,0,0,1,1,0,2
20759,284055791,Dawn-Reaper,0,20,0,0,0,0,0,0,0,0
