,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
21000,279896599,Deathblade5,0,1,1,1,0,0,1,1,1,5
21001,281058443,Deathblade5,0,2,1,1,1,0,2,2,1,8
21002,282274547,Deathblade5,0,3,1,1,0,0,2,1,1,6
21003,282282664,Deathblade5,0,4,1,1,0,0,1,2,1,6
21004,282573076,Deathblade5,0,5,1,0,0,0,2,2,1,6
21005,282846313,Deathblade5,1,6,3,3,3,3,3,2,3,20
21006,283935169,Deathblade5,1,7,1,2,3,2,3,2,2,15
21007,284110369,Deathblade5,1,8,2,3,3,3,3,2,3,19
21008,285807350,Deathblade5,0,9,0,0,0,1,2,1,1,5
21009,286741418,Deathblade5,0,10,1,1,0,1,1,1,1,6
21010,287306648,Deathblade5,0,11,1,1,0,1,1,1,1,6
21011,287329014,Deathblade5,0,12,1,1,0,1,1,1,1,6
21012,287428958,Deathblade5,0,13,1,1,0,1,1,1,1,6
21013,287682582,Deathblade5,0,14,1,1,0,1,1,1,1,6
21014,287708878,Deathblade5,0,15,1,1,2,2,2,2,2,12
21015,288046338,Deathblade5,0,16,1,1,2,2,2,2,2,12
21016,289069305,Deathblade5,0,17,1,1,0,1,1,1,1,6
21017,289071562,Deathblade5,0,18,1,3,0,2,1,1,1,9
21018,290097968,Deathblade5,0,19,1,3,0,2,1,1,1,9
21019,290703957,Deathblade5,0,20,1,3,0,2,1,1,1,9
