,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
21260,280158077,DeweyMack,0,1,1,3,2,3,2,2,3,16
21261,280512269,DeweyMack,0,2,0,0,0,1,2,1,1,5
21262,280775297,DeweyMack,1,3,1,1,0,1,2,1,1,7
21263,280912323,DeweyMack,0,4,1,1,0,3,2,1,1,9
21264,280913828,DeweyMack,0,5,1,1,0,1,2,1,1,7
21265,280917312,DeweyMack,0,6,1,2,0,0,1,2,1,7
21266,280926069,DeweyMack,1,7,1,3,0,3,2,2,1,12
21267,280944229,DeweyMack,0,8,1,1,0,1,1,1,1,6
21268,281041815,DeweyMack,0,9,1,1,0,2,2,1,1,8
21269,281199147,DeweyMack,0,10,1,1,1,0,1,1,0,5
21270,281988994,DeweyMack,0,11,1,2,0,1,2,2,1,9
21271,282100413,DeweyMack,0,12,1,1,0,1,2,1,1,7
21272,282461596,DeweyMack,0,13,1,1,0,1,2,1,1,7
21273,282577127,DeweyMack,0,14,1,1,0,1,2,1,1,7
21274,283356383,DeweyMack,0,15,1,3,1,3,2,2,3,15
21275,283941960,DeweyMack,0,16,1,1,0,2,2,1,1,8
21276,284318553,DeweyMack,0,17,1,0,0,0,2,2,1,6
21277,284651211,DeweyMack,0,18,1,3,0,2,2,1,1,10
21278,285293743,DeweyMack,0,19,1,1,0,2,2,1,1,8
21279,285311862,DeweyMack,0,20,1,3,0,2,2,1,1,10
