,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
21280,321396730,Dewpawin,0,1,0,0,0,0,1,1,1,3
21281,321397535,Dewpawin,0,2,0,0,0,0,0,1,0,1
21282,321397657,Dewpawin,0,3,0,0,0,0,0,0,0,0
21283,321525904,Dewpawin,0,4,1,0,0,1,1,1,1,5
21284,322681661,Dewpawin,0,5,1,1,2,0,2,2,1,9
21285,322773979,Dewpawin,0,6,1,0,1,0,1,2,0,5
21286,322975338,Dewpawin,0,7,1,0,1,3,1,2,0,8
21287,323221162,Dewpawin,0,8,1,0,2,0,1,2,0,6
21288,323331210,Dewpawin,0,9,1,0,1,0,1,2,1,6
21289,323443864,Dewpawin,0,10,1,0,1,1,2,1,1,7
21290,323450239,Dewpawin,0,11,1,1,1,1,2,1,1,8
21291,323667127,Dewpawin,0,12,1,0,2,1,2,1,1,8
21292,324008766,Dewpawin,0,13,0,0,0,0,1,1,1,3
21293,324010277,Dewpawin,0,14,0,0,0,0,2,1,1,4
21294,324150439,Dewpawin,0,15,0,0,0,0,2,2,1,5
21295,326554347,Dewpawin,0,16,0,0,0,0,1,1,1,3
21296,327268369,Dewpawin,0,17,0,0,0,0,2,1,1,4
21297,327270816,Dewpawin,0,18,2,0,0,1,2,1,1,7
21298,327280533,Dewpawin,0,19,1,0,0,0,2,1,1,5
21299,327291392,Dewpawin,0,20,0,0,0,0,2,1,1,4
