,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
22200,278309177,DylanKhul,0,1,1,2,0,1,2,2,1,9
22201,279507252,DylanKhul,0,2,1,0,0,1,2,2,1,7
22202,279843054,DylanKhul,1,3,1,1,0,1,2,1,1,7
22203,279843710,DylanKhul,1,4,1,0,0,3,3,1,1,9
22204,279845106,DylanKhul,1,5,0,0,0,1,1,2,1,5
22205,280408119,DylanKhul,1,6,0,0,0,0,2,2,1,5
22206,280410688,DylanKhul,1,7,0,0,0,0,2,1,0,3
22207,280760063,DylanKhul,0,8,1,1,0,1,2,1,1,7
22208,280771053,DylanKhul,0,9,0,0,0,0,2,1,1,4
22209,281438758,DylanKhul,0,10,1,1,0,1,2,1,1,7
22210,282300741,DylanKhul,1,11,1,0,0,1,2,2,1,7
22211,282781616,DylanKhul,1,12,1,1,1,3,3,1,1,11
22212,282788161,DylanKhul,1,13,0,0,0,0,2,1,1,4
22213,282791499,DylanKhul,1,14,1,0,0,2,3,1,1,8
22214,283026409,DylanKhul,1,15,1,0,0,0,1,2,1,5
22215,283087621,DylanKhul,0,16,2,1,0,1,2,1,1,8
22216,284352349,DylanKhul,0,17,2,2,0,1,1,2,1,9
22217,284987980,DylanKhul,0,18,0,0,0,1,3,1,1,6
22218,305509376,DylanKhul,1,19,1,1,1,2,2,1,2,10
22219,306089108,DylanKhul,0,20,1,1,3,2,2,1,1,11
