,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
22440,325933955,EJMoise,0,1,0,0,0,0,2,1,1,4
22441,325935830,EJMoise,0,2,0,0,0,0,2,1,1,4
22442,325937942,EJMoise,0,3,0,0,0,0,1,1,1,3
22443,325941452,EJMoise,0,4,0,0,0,0,1,1,1,3
22444,326729044,EJMoise,0,5,0,0,0,0,2,1,1,4
22445,326730270,EJMoise,0,6,1,0,1,2,2,1,1,8
22446,326732849,EJMoise,0,7,0,0,0,1,2,1,1,5
22447,326733937,EJMoise,0,8,1,0,0,0,1,1,1,4
22448,326735059,EJMoise,0,9,0,0,0,1,1,1,0,3
22449,326905450,EJMoise,0,10,0,0,0,1,2,1,1,5
22450,326908177,EJMoise,0,11,0,0,1,1,2,1,1,6
22451,326909598,EJMoise,0,12,1,1,0,1,2,1,1,7
22452,326910959,EJMoise,0,13,1,1,0,1,2,1,1,7
22453,326927100,EJMoise,0,14,0,0,0,0,1,1,0,2
22454,326931320,EJMoise,0,15,0,0,0,0,2,1,0,3
22455,326932545,EJMoise,0,16,1,0,0,1,2,1,2,7
22456,326935371,EJMoise,0,17,1,1,0,0,2,1,0,5
22457,326937956,EJMoise,0,18,1,0,0,1,2,1,2,7
22458,326939653,EJMoise,0,19,1,1,1,0,2,2,1,8
22459,326943300,EJMoise,0,20,1,1,1,0,2,2,1,8
