,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
23960,279053129,FN-618624,0,1,1,2,2,2,2,2,2,13
23961,279147346,FN-618624,0,2,1,1,1,2,2,2,2,11
23962,279209963,FN-618624,0,3,1,1,2,0,2,2,2,10
23963,279217878,FN-618624,0,4,1,1,0,1,2,1,1,7
23964,279219806,FN-618624,0,5,1,1,0,0,2,1,1,6
23965,279225609,FN-618624,0,6,1,1,1,2,2,2,2,11
23966,279253513,FN-618624,0,7,1,1,0,0,2,1,1,6
23967,279260791,FN-618624,0,8,1,1,1,2,2,2,2,11
23968,279489103,FN-618624,0,9,1,1,1,2,2,1,1,9
23969,279501855,FN-618624,0,10,1,3,0,3,2,2,1,12
23970,280474459,FN-618624,1,11,1,2,3,2,3,2,2,15
23971,280580946,FN-618624,1,12,1,1,2,2,3,2,3,14
23972,280700172,FN-618624,1,13,1,1,1,0,3,2,2,10
23973,280715393,FN-618624,1,14,3,3,3,3,3,2,2,19
23974,280769084,FN-618624,1,15,1,3,1,2,2,2,2,13
23975,280789442,FN-618624,0,16,3,2,3,0,2,2,2,14
23976,280884996,FN-618624,0,17,1,1,0,3,2,1,1,9
23977,280887878,FN-618624,0,18,1,1,1,2,3,1,2,11
23978,280890903,FN-618624,1,19,2,1,3,2,2,2,2,14
23979,281440245,FN-618624,0,20,1,1,1,2,2,2,2,11
