,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
24620,293400735,FlaffyTheBest,0,1,3,3,3,3,3,2,2,19
24621,298266956,FlaffyTheBest,0,2,3,0,1,1,3,1,2,11
24622,298271934,FlaffyTheBest,0,3,3,0,0,1,2,1,1,8
24623,298465794,FlaffyTheBest,0,4,3,0,0,1,2,1,1,8
24624,298696727,FlaffyTheBest,1,5,1,2,1,0,2,2,2,10
24625,299827140,FlaffyTheBest,0,6,3,2,3,2,2,2,2,16
24626,302423700,FlaffyTheBest,0,7,3,1,0,1,2,2,1,10
24627,302539838,FlaffyTheBest,0,8,1,2,0,0,1,2,1,7
24628,302654862,FlaffyTheBest,0,9,3,3,3,3,3,2,2,19
24629,302671034,FlaffyTheBest,0,10,3,2,0,2,2,2,2,13
24630,302999588,FlaffyTheBest,1,11,3,1,0,1,2,2,1,10
24631,304219970,FlaffyTheBest,0,12,3,3,2,3,3,2,1,17
24632,305209844,FlaffyTheBest,1,13,3,2,2,1,2,2,1,13
24633,305254038,FlaffyTheBest,0,14,3,1,0,0,2,1,2,9
24634,305687562,FlaffyTheBest,0,15,0,0,0,3,2,2,2,9
24635,307527920,FlaffyTheBest,0,16,2,3,3,3,3,2,3,19
24636,308132011,FlaffyTheBest,0,17,1,0,0,0,1,2,1,5
24637,308300045,FlaffyTheBest,0,18,3,1,3,3,2,1,1,14
24638,308791251,FlaffyTheBest,0,19,0,0,0,0,0,0,0,0
24639,309619032,FlaffyTheBest,0,20,1,0,0,0,1,2,1,5
