,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
24780,279601905,FlurryQuackers,0,1,0,0,0,0,1,1,0,2
24781,279883370,FlurryQuackers,0,2,1,1,0,0,2,1,1,6
24782,279915849,FlurryQuackers,0,3,0,0,0,0,0,0,0,0
24783,280114905,FlurryQuackers,0,4,0,0,0,0,0,0,0,0
24784,280173460,FlurryQuackers,0,5,0,0,0,1,2,1,1,5
24785,280203847,FlurryQuackers,0,6,0,0,0,0,0,0,0,0
24786,280204367,FlurryQuackers,0,7,0,0,0,0,0,0,0,0
24787,280204791,FlurryQuackers,0,8,0,0,0,0,0,0,0,0
24788,280205178,FlurryQuackers,0,9,0,0,0,0,0,0,0,0
24789,280206163,FlurryQuackers,0,10,0,0,0,0,0,0,0,0
24790,280525249,FlurryQuackers,0,11,0,0,0,0,1,2,1,4
24791,280561284,FlurryQuackers,0,12,0,0,0,0,0,0,0,0
24792,281019189,FlurryQuackers,0,13,0,0,0,0,1,1,1,3
24793,281231628,FlurryQuackers,1,14,1,1,0,1,2,2,1,8
24794,281495961,FlurryQuackers,0,15,1,0,0,0,1,2,0,4
24795,283315621,FlurryQuackers,0,16,0,0,0,1,2,1,1,5
24796,283386042,FlurryQuackers,0,17,0,0,0,0,0,0,0,0
24797,284150779,FlurryQuackers,0,18,0,0,0,0,0,0,0,0
24798,284720689,FlurryQuackers,0,19,0,0,0,0,0,0,0,0
24799,285583068,FlurryQuackers,0,20,0,0,0,0,1,2,0,3
