,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
25060,281789837,FreddyR10,1,1,1,1,0,3,2,2,2,11
25061,282046133,FreddyR10,0,2,1,2,0,1,2,2,1,9
25062,282314526,FreddyR10,0,3,0,0,0,0,1,2,0,3
25063,282318928,FreddyR10,0,4,0,0,0,0,1,2,1,4
25064,282319465,FreddyR10,0,5,1,0,0,0,2,2,1,6
25065,282319839,FreddyR10,0,6,0,0,0,0,1,2,1,4
25066,282321253,FreddyR10,0,7,0,0,0,0,1,2,0,3
25067,282796729,FreddyR10,0,8,1,1,1,1,2,2,2,10
25068,288832444,FreddyR10,0,9,1,1,0,1,2,2,2,9
25069,289364115,FreddyR10,0,10,2,3,3,2,3,2,2,17
25070,296163511,FreddyR10,0,11,1,0,0,1,2,2,1,7
25071,296225024,FreddyR10,0,12,1,1,1,0,2,2,2,9
25072,296226439,FreddyR10,0,13,1,1,0,1,1,1,1,6
25073,296226797,FreddyR10,0,14,1,0,0,0,1,2,1,5
25074,296227048,FreddyR10,0,15,0,0,0,0,2,2,1,5
25075,296227275,FreddyR10,0,16,1,0,0,0,1,2,1,5
25076,300205990,FreddyR10,0,17,1,1,3,1,3,2,2,13
25077,301706066,FreddyR10,0,18,1,1,0,3,1,1,1,8
25078,301964193,FreddyR10,0,19,0,0,0,0,0,0,0,0
25079,301964953,FreddyR10,0,20,0,0,0,0,1,1,1,3
