,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
25120,280525330,Fronztess123,1,1,1,3,0,3,1,1,1,10
25121,289762363,Fronztess123,1,2,1,3,1,3,2,1,1,12
25122,289763840,Fronztess123,0,3,0,0,0,0,0,0,0,0
25123,292646583,Fronztess123,0,4,1,1,1,0,2,2,2,9
25124,292647965,Fronztess123,0,5,2,1,1,0,2,2,2,10
25125,292655111,Fronztess123,0,6,1,1,0,1,2,1,1,7
25126,292670832,Fronztess123,0,7,1,2,0,0,2,2,2,9
25127,293095276,Fronztess123,0,8,0,0,0,0,1,1,0,2
25128,294700560,Fronztess123,0,9,1,1,0,0,2,2,2,8
25129,294704614,Fronztess123,0,10,1,3,1,3,2,2,2,14
25130,297812658,Fronztess123,0,11,0,0,0,0,0,0,0,0
25131,298035814,Fronztess123,0,12,0,0,0,0,0,0,0,0
25132,298131823,Fronztess123,1,13,1,1,0,1,2,1,1,7
25133,298136176,Fronztess123,0,14,1,1,1,2,2,2,2,11
25134,298510599,Fronztess123,0,15,1,1,1,0,2,2,2,9
25135,299397479,Fronztess123,1,16,3,1,1,2,2,2,1,12
25136,299403246,Fronztess123,1,17,3,1,3,2,2,2,2,15
25137,299415622,Fronztess123,0,18,0,0,0,0,1,0,0,1
25138,299803595,Fronztess123,0,19,1,3,0,3,2,2,1,12
25139,299848755,Fronztess123,1,20,1,3,1,2,3,2,1,13
