,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
25180,289741476,Froststar189,0,1,1,1,0,1,3,1,2,9
25181,289745930,Froststar189,0,2,1,1,0,1,2,2,1,8
25182,290399510,Froststar189,0,3,1,1,0,1,2,1,1,7
25183,290403745,Froststar189,0,4,1,1,0,0,2,1,0,5
25184,290405714,Froststar189,0,5,1,3,0,3,1,1,1,10
25185,291547297,Froststar189,0,6,0,0,0,0,0,0,0,0
25186,292224049,Froststar189,0,7,0,0,2,2,2,2,2,10
25187,292226903,Froststar189,0,8,1,1,1,3,2,1,2,11
25188,292230612,Froststar189,0,9,1,2,1,2,2,2,2,12
25189,293783325,Froststar189,0,10,1,1,2,2,3,2,3,14
25190,294130441,Froststar189,0,11,1,1,3,2,3,1,2,13
25191,294134618,Froststar189,0,12,2,0,3,0,3,2,2,12
25192,295699652,Froststar189,0,13,3,3,3,3,3,2,2,19
25193,297487942,Froststar189,0,14,3,1,3,2,3,2,2,16
25194,298347425,Froststar189,0,15,3,3,3,3,3,2,2,19
25195,298482342,Froststar189,0,16,0,0,1,0,2,2,2,7
25196,298484468,Froststar189,0,17,1,2,0,2,1,2,1,9
25197,299395084,Froststar189,0,18,1,1,1,2,3,2,2,12
25198,299399433,Froststar189,0,19,1,1,3,2,2,2,2,13
25199,300658457,Froststar189,0,20,2,1,3,2,3,2,2,15
