,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
25420,280888261,GC5MightyOaks,0,1,2,2,0,2,1,2,1,10
25421,280893262,GC5MightyOaks,0,2,2,2,0,2,1,2,1,10
25422,281008577,GC5MightyOaks,0,3,0,0,0,0,2,2,1,5
25423,282529572,GC5MightyOaks,0,4,1,2,0,0,1,2,0,6
25424,282537120,GC5MightyOaks,0,5,1,2,0,0,1,2,0,6
25425,283764017,GC5MightyOaks,1,6,3,3,3,3,3,2,3,20
25426,284102163,GC5MightyOaks,0,7,1,0,0,0,1,2,1,5
25427,289587596,GC5MightyOaks,0,8,1,0,0,0,1,2,1,5
25428,290587947,GC5MightyOaks,0,9,1,2,0,0,1,2,1,7
25429,296416925,GC5MightyOaks,1,10,3,3,3,3,3,2,3,20
25430,296417258,GC5MightyOaks,0,11,0,0,0,0,1,2,0,3
25431,299222258,GC5MightyOaks,0,12,1,0,0,0,1,2,1,5
25432,304160028,GC5MightyOaks,0,13,1,0,0,0,1,2,1,5
25433,304698248,GC5MightyOaks,1,14,3,3,3,3,3,2,3,20
25434,304700267,GC5MightyOaks,1,15,3,1,3,3,3,2,2,17
25435,304704210,GC5MightyOaks,0,16,0,0,0,0,0,0,0,0
25436,305999720,GC5MightyOaks,1,17,2,3,2,3,2,1,1,14
25437,306295314,GC5MightyOaks,1,18,3,3,3,3,3,2,3,20
25438,306298091,GC5MightyOaks,1,19,3,3,1,3,2,1,2,15
25439,307513243,GC5MightyOaks,1,20,3,3,3,3,3,2,3,20
