,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
26220,284003834,GenerousCoder11,0,1,1,2,0,1,1,2,1,8
26221,284009662,GenerousCoder11,0,2,1,2,1,1,2,2,1,10
26222,284097658,GenerousCoder11,0,3,1,2,0,0,1,2,0,6
26223,285002850,GenerousCoder11,1,4,1,3,0,2,2,1,1,10
26224,285013545,GenerousCoder11,1,5,1,3,0,2,2,1,1,10
26225,285116544,GenerousCoder11,0,6,0,0,0,0,1,1,0,2
26226,285136658,GenerousCoder11,0,7,1,1,0,2,1,2,2,9
26227,286999092,GenerousCoder11,0,8,0,0,0,0,1,1,0,2
26228,287710344,GenerousCoder11,1,9,1,1,0,1,2,1,1,7
26229,289744720,GenerousCoder11,1,10,1,3,0,2,2,1,1,10
26230,289745483,GenerousCoder11,0,11,1,1,0,2,2,3,2,11
26231,289765350,GenerousCoder11,0,12,1,1,0,0,1,1,2,6
26232,289767014,GenerousCoder11,0,13,1,2,0,1,2,2,2,10
26233,290775349,GenerousCoder11,1,14,1,3,2,2,3,1,1,13
26234,290804641,GenerousCoder11,0,15,1,1,0,0,2,1,1,6
26235,290882219,GenerousCoder11,0,16,1,1,0,1,2,1,1,7
26236,291885490,GenerousCoder11,0,17,1,1,0,2,1,1,1,7
26237,293678780,GenerousCoder11,0,18,1,1,0,2,1,1,1,7
26238,294014316,GenerousCoder11,0,19,1,2,3,1,2,3,3,15
26239,294543347,GenerousCoder11,1,20,1,3,0,2,2,1,1,10
