,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
26740,277256022,Goomba_gamer9,0,1,1,1,1,2,2,2,1,10
26741,277411777,Goomba_gamer9,0,2,0,0,0,1,2,1,1,5
26742,277413436,Goomba_gamer9,0,3,1,1,0,1,2,2,1,8
26743,277417374,Goomba_gamer9,0,4,1,1,0,1,1,1,0,5
26744,277513074,Goomba_gamer9,0,5,1,1,0,2,2,1,1,8
26745,277515939,Goomba_gamer9,1,6,3,0,3,0,3,1,1,11
26746,277517947,Goomba_gamer9,1,7,2,3,2,3,2,2,2,16
26747,277518893,Goomba_gamer9,0,8,1,1,0,1,2,1,1,7
26748,277523308,Goomba_gamer9,0,9,1,1,0,1,1,1,1,6
26749,277526457,Goomba_gamer9,1,10,1,3,3,3,3,2,2,17
26750,277529311,Goomba_gamer9,0,11,1,1,0,1,1,1,1,6
26751,277531601,Goomba_gamer9,0,12,1,1,0,2,2,1,1,8
26752,277534927,Goomba_gamer9,1,13,3,0,3,0,3,1,1,11
26753,277536530,Goomba_gamer9,0,14,1,0,0,0,2,2,1,6
26754,277539593,Goomba_gamer9,0,15,1,1,1,1,2,2,1,9
26755,277792975,Goomba_gamer9,0,16,3,3,3,3,3,2,2,19
26756,278098619,Goomba_gamer9,0,17,1,1,0,1,2,1,1,7
26757,278397777,Goomba_gamer9,0,18,1,1,0,0,2,1,1,6
26758,278401314,Goomba_gamer9,0,19,0,0,0,1,1,1,1,4
26759,278408527,Goomba_gamer9,0,20,1,0,0,2,1,1,1,6
