,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
26760,286665729,GoopdogJermy,1,1,1,1,0,1,2,1,1,7
26761,286972019,GoopdogJermy,1,2,1,1,1,3,3,1,1,11
26762,286972787,GoopdogJermy,1,3,0,0,0,0,2,1,1,4
26763,287248922,GoopdogJermy,1,4,1,0,0,0,1,2,1,5
26764,287250959,GoopdogJermy,1,5,1,1,0,0,3,1,1,7
26765,287254673,GoopdogJermy,1,6,0,0,0,0,2,2,1,5
26766,287939424,GoopdogJermy,1,7,0,0,0,0,2,1,0,3
26767,287940615,GoopdogJermy,1,8,1,0,0,1,2,2,1,7
26768,287942258,GoopdogJermy,1,9,0,0,0,1,3,1,1,6
26769,287944231,GoopdogJermy,1,10,1,0,0,0,1,2,1,5
26770,287946666,GoopdogJermy,1,11,2,1,0,1,1,1,0,6
26771,287948181,GoopdogJermy,1,12,2,0,0,0,2,2,2,8
26772,287950097,GoopdogJermy,1,13,1,1,0,2,1,1,1,7
26773,288192760,GoopdogJermy,1,14,1,0,0,3,2,2,1,9
26774,288195212,GoopdogJermy,1,15,1,0,0,2,2,1,1,7
26775,288196937,GoopdogJermy,1,16,1,1,0,3,1,2,3,11
26776,288516292,GoopdogJermy,1,17,1,1,0,3,2,2,2,11
26777,288524390,GoopdogJermy,1,18,1,1,3,3,2,2,2,14
26778,288812994,GoopdogJermy,1,19,1,1,2,3,1,2,1,11
26779,288815393,GoopdogJermy,0,20,1,1,1,3,1,2,1,10
