,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
26820,278273419,GrapeSodaIsYummy,0,1,1,0,0,0,2,1,1,5
26821,279456218,GrapeSodaIsYummy,0,2,0,0,0,1,2,2,1,6
26822,279777557,GrapeSodaIsYummy,1,3,1,1,0,1,2,1,1,7
26823,279779331,GrapeSodaIsYummy,1,4,0,0,0,0,1,1,1,3
26824,279781223,GrapeSodaIsYummy,1,5,0,0,0,1,1,2,1,5
26825,279784146,GrapeSodaIsYummy,1,6,0,0,0,0,2,2,1,5
26826,279785192,GrapeSodaIsYummy,1,7,0,0,0,0,2,1,0,3
26827,280054693,GrapeSodaIsYummy,0,8,1,1,0,1,2,1,1,7
26828,280709322,GrapeSodaIsYummy,0,9,1,1,0,1,2,1,1,7
26829,281386760,GrapeSodaIsYummy,0,10,1,1,0,1,2,1,1,7
26830,282249140,GrapeSodaIsYummy,1,11,1,0,0,1,2,2,1,7
26831,282250417,GrapeSodaIsYummy,1,12,1,1,1,3,3,1,1,11
26832,282252000,GrapeSodaIsYummy,1,13,0,0,0,0,2,1,1,4
26833,282253167,GrapeSodaIsYummy,1,14,0,0,0,1,3,1,1,6
26834,282256699,GrapeSodaIsYummy,1,15,1,0,0,0,1,2,1,5
26835,282730474,GrapeSodaIsYummy,0,16,2,1,2,1,3,1,1,11
26836,283015452,GrapeSodaIsYummy,0,17,1,3,0,2,1,1,0,8
26837,283271560,GrapeSodaIsYummy,0,18,1,3,1,2,2,1,1,11
26838,284294553,GrapeSodaIsYummy,0,19,2,3,0,3,3,1,1,13
26839,292985417,GrapeSodaIsYummy,0,20,1,3,1,2,2,2,1,12
