,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
27120,281180451,Gzubix,0,1,1,3,0,3,2,2,1,12
27121,281284108,Gzubix,0,2,1,1,0,1,1,2,1,7
27122,281678496,Gzubix,0,3,1,1,2,1,1,2,1,9
27123,281692412,Gzubix,0,4,1,3,2,3,2,2,1,14
27124,281738660,Gzubix,0,5,1,1,0,1,1,1,1,6
27125,291285908,Gzubix,0,6,1,1,0,3,1,2,1,9
27126,303156210,Gzubix,0,7,1,3,1,3,1,2,1,12
27127,303176436,Gzubix,0,8,1,3,1,3,1,2,1,12
27128,303208882,Gzubix,0,9,1,3,1,3,2,2,2,14
27129,303252487,Gzubix,0,10,1,3,1,3,2,2,1,13
27130,303438463,Gzubix,0,11,0,0,1,0,1,2,0,4
27131,303606275,Gzubix,0,12,1,2,1,1,2,2,2,11
27132,303619426,Gzubix,0,13,1,1,0,1,2,1,1,7
27133,303625521,Gzubix,0,14,1,1,0,1,2,1,1,7
27134,303631020,Gzubix,0,15,1,1,0,1,2,1,1,7
27135,303634092,Gzubix,0,16,3,1,0,0,2,1,1,8
27136,303658033,Gzubix,0,17,1,3,1,3,2,2,1,13
27137,303714745,Gzubix,0,18,1,2,1,0,2,2,0,8
27138,303730153,Gzubix,0,19,1,3,1,3,1,2,1,12
27139,304115144,Gzubix,0,20,1,1,0,1,1,1,1,6
