,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
28040,283531384,HenryKsb2,1,1,2,1,3,3,2,1,1,13
28041,283532941,HenryKsb2,1,2,2,1,3,3,2,1,1,13
28042,283534052,HenryKsb2,1,3,2,1,3,3,2,1,1,13
28043,283534882,HenryKsb2,1,4,2,1,3,3,2,1,1,13
28044,283535667,HenryKsb2,1,5,2,1,3,3,2,1,1,13
28045,283536984,HenryKsb2,1,6,2,1,3,3,2,1,1,13
28046,283537560,HenryKsb2,1,7,2,1,3,3,2,1,1,13
28047,283538321,HenryKsb2,1,8,2,1,3,3,2,1,1,13
28048,283538463,HenryKsb2,1,9,2,1,3,3,2,1,1,13
28049,284511837,HenryKsb2,1,10,2,1,3,3,2,1,1,13
28050,284513000,HenryKsb2,1,11,2,1,3,3,2,1,1,13
28051,284514009,HenryKsb2,1,12,2,3,3,3,2,1,1,15
28052,284514846,HenryKsb2,1,13,2,1,3,3,2,1,1,13
28053,284515423,HenryKsb2,1,14,2,1,3,3,2,1,1,13
28054,284516281,HenryKsb2,1,15,2,3,3,3,2,1,1,15
28055,284517059,HenryKsb2,1,16,2,3,3,3,2,1,1,15
28056,284518325,HenryKsb2,1,17,2,3,3,3,2,1,1,15
28057,284519766,HenryKsb2,1,18,2,1,3,3,2,1,1,13
28058,284521238,HenryKsb2,1,19,2,3,3,3,2,1,1,15
28059,284810658,HenryKsb2,1,20,2,1,3,3,2,1,2,14
