,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29120,333610211,I_am_a_crumpet,1,1,1,3,0,3,2,1,1,11
29121,335348674,I_am_a_crumpet,1,2,1,3,0,2,2,1,1,10
29122,335349575,I_am_a_crumpet,1,3,1,3,0,3,2,1,1,11
29123,335352587,I_am_a_crumpet,1,4,2,3,0,2,2,1,1,11
29124,335396549,I_am_a_crumpet,0,5,1,1,0,1,2,1,1,7
29125,335461258,I_am_a_crumpet,1,6,1,2,0,3,3,2,1,12
29126,335490916,I_am_a_crumpet,0,7,1,1,0,0,2,1,1,6
29127,335686128,I_am_a_crumpet,1,8,1,3,0,2,2,1,1,10
29128,335753291,I_am_a_crumpet,1,9,1,1,0,2,2,1,1,8
29129,335754171,I_am_a_crumpet,1,10,1,1,0,1,2,1,0,6
29130,335756588,I_am_a_crumpet,1,11,1,0,0,1,1,1,0,4
29131,335756786,I_am_a_crumpet,0,12,0,0,0,0,1,1,0,2
29132,335758129,I_am_a_crumpet,1,13,1,3,0,2,2,1,1,10
29133,335786723,I_am_a_crumpet,1,14,1,0,0,0,1,2,1,5
29134,335791039,I_am_a_crumpet,0,15,1,1,0,1,2,1,1,7
29135,335794091,I_am_a_crumpet,1,16,0,0,0,0,2,1,0,3
29136,335794437,I_am_a_crumpet,1,17,1,0,0,0,1,2,1,5
29137,335794968,I_am_a_crumpet,1,18,0,0,0,0,2,1,0,3
29138,335795907,I_am_a_crumpet,1,19,1,0,0,0,1,2,1,5
29139,335796798,I_am_a_crumpet,1,20,1,0,0,0,1,2,1,5
