,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29380,284879124,IcyIsaiah04,0,1,1,1,0,1,2,1,1,7
29381,286304378,IcyIsaiah04,1,2,1,1,0,1,2,1,1,7
29382,287223157,IcyIsaiah04,1,3,3,1,1,1,2,2,1,11
29383,288187807,IcyIsaiah04,0,4,1,2,0,2,2,2,1,10
29384,288766719,IcyIsaiah04,1,5,3,2,3,1,3,2,1,15
29385,289628151,IcyIsaiah04,1,6,0,0,1,2,2,2,2,9
29386,291102810,IcyIsaiah04,0,7,1,2,3,1,3,2,1,13
29387,291768163,IcyIsaiah04,1,8,3,2,3,0,3,2,2,15
29388,292993757,IcyIsaiah04,1,9,1,3,2,3,2,2,1,14
29389,293677887,IcyIsaiah04,1,10,1,1,2,2,2,2,2,12
29390,294890607,IcyIsaiah04,1,11,1,1,1,0,2,2,2,9
29391,296440779,IcyIsaiah04,1,12,1,1,3,1,3,2,2,13
29392,297028290,IcyIsaiah04,1,13,1,1,1,3,3,2,2,13
29393,297720786,IcyIsaiah04,1,14,3,1,1,2,3,1,1,12
29394,298074452,IcyIsaiah04,1,15,1,1,0,2,2,1,1,8
29395,299285191,IcyIsaiah04,0,16,1,1,0,1,2,2,1,8
29396,299783631,IcyIsaiah04,0,17,2,1,0,1,2,1,1,8
29397,300137970,IcyIsaiah04,1,18,2,1,1,1,2,1,1,9
29398,300984782,IcyIsaiah04,1,19,0,0,2,0,2,2,1,7
29399,301311850,IcyIsaiah04,1,20,1,0,0,2,3,2,1,9
