,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29500,320780701,Illusion705,0,1,1,3,3,3,2,2,3,17
29501,321725300,Illusion705,0,2,3,3,3,3,3,2,3,20
29502,321878985,Illusion705,0,3,3,3,0,2,3,1,2,14
29503,321901532,Illusion705,0,4,1,3,0,2,2,1,1,10
29504,322369840,Illusion705,0,5,3,3,3,3,2,2,2,18
29505,323010727,Illusion705,1,6,0,0,0,0,0,0,0,0
29506,323289438,Illusion705,0,7,3,3,0,2,2,1,1,12
29507,323352537,Illusion705,0,8,3,3,3,2,2,2,1,16
29508,323487430,Illusion705,0,9,1,3,0,2,2,1,1,10
29509,323754615,Illusion705,0,10,1,1,3,3,2,2,2,14
29510,323863331,Illusion705,0,11,0,0,0,1,2,1,1,5
29511,323976027,Illusion705,0,12,1,0,3,2,2,2,1,11
29512,324208111,Illusion705,0,13,2,3,3,2,3,2,3,18
29513,324220580,Illusion705,0,14,1,1,3,0,2,2,2,11
29514,324418811,Illusion705,1,15,0,0,0,0,2,1,0,3
29515,324725453,Illusion705,0,16,3,3,0,2,2,1,1,12
29516,324739536,Illusion705,0,17,1,3,0,2,2,1,1,10
29517,324797426,Illusion705,0,18,1,1,0,0,2,1,1,6
29518,325366818,Illusion705,0,19,1,3,3,2,3,2,3,17
29519,327547507,Illusion705,0,20,1,1,3,0,3,1,2,11
