,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29880,332283025,Its_OnlyWolf,0,1,0,0,0,0,1,2,1,4
29881,332287492,Its_OnlyWolf,0,2,0,0,0,0,1,2,1,4
29882,332991759,Its_OnlyWolf,0,3,1,3,0,3,1,2,1,11
29883,333451153,Its_OnlyWolf,0,4,0,0,0,0,0,0,0,0
29884,334208207,Its_OnlyWolf,1,5,1,2,0,0,1,2,1,7
29885,334825840,Its_OnlyWolf,0,6,1,0,0,3,1,2,1,8
29886,335754316,Its_OnlyWolf,1,7,1,3,0,3,2,1,1,11
29887,335937516,Its_OnlyWolf,0,8,1,3,0,3,2,2,1,12
29888,337572219,Its_OnlyWolf,0,9,1,1,0,1,1,1,1,6
29889,338842065,Its_OnlyWolf,0,10,0,0,0,0,1,1,1,3
29890,339106426,Its_OnlyWolf,0,11,1,1,0,3,1,1,1,8
29891,339482039,Its_OnlyWolf,1,12,1,3,1,2,2,1,1,11
29892,339588573,Its_OnlyWolf,0,13,0,0,0,1,1,1,1,4
29893,339700356,Its_OnlyWolf,0,14,1,3,2,3,2,2,3,16
29894,340300457,Its_OnlyWolf,0,15,1,3,0,3,2,1,1,11
29895,340380836,Its_OnlyWolf,0,16,0,0,0,0,0,0,0,0
29896,340676026,Its_OnlyWolf,0,17,1,1,0,2,2,1,1,8
29897,340990351,Its_OnlyWolf,0,18,1,3,2,3,2,2,2,15
29898,341326824,Its_OnlyWolf,0,19,1,1,0,2,2,1,0,7
29899,341441407,Its_OnlyWolf,0,20,1,3,2,3,3,2,3,17
