,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29920,280999992,ItzNowzPlayz,1,1,3,3,3,3,3,2,2,19
29921,281003858,ItzNowzPlayz,1,2,3,3,3,3,3,2,2,19
29922,281012569,ItzNowzPlayz,1,3,3,3,3,3,3,1,2,18
29923,281177724,ItzNowzPlayz,1,4,3,3,1,2,3,1,2,15
29924,281180861,ItzNowzPlayz,1,5,1,1,0,1,2,1,1,7
29925,281187370,ItzNowzPlayz,1,6,3,1,1,1,2,1,2,11
29926,281194715,ItzNowzPlayz,1,7,3,3,3,3,3,2,2,19
29927,281218115,ItzNowzPlayz,1,8,1,3,0,2,2,1,2,11
29928,281218763,ItzNowzPlayz,1,9,3,1,3,1,3,1,2,14
29929,281219578,ItzNowzPlayz,1,10,1,1,0,1,2,1,1,7
29930,281343273,ItzNowzPlayz,1,11,3,3,3,3,3,2,2,19
29931,282345794,ItzNowzPlayz,1,12,1,1,0,1,2,1,1,7
29932,282347997,ItzNowzPlayz,1,13,1,1,0,1,2,1,1,7
29933,284362703,ItzNowzPlayz,1,14,0,0,0,0,1,1,1,3
29934,284656373,ItzNowzPlayz,1,15,1,3,0,3,1,2,1,11
29935,284665140,ItzNowzPlayz,1,16,3,3,0,2,3,1,2,14
29936,284975224,ItzNowzPlayz,1,17,1,1,0,2,2,1,1,8
29937,285305340,ItzNowzPlayz,0,18,1,3,0,2,2,2,1,11
29938,285529767,ItzNowzPlayz,1,19,1,1,0,0,2,1,1,6
29939,285567515,ItzNowzPlayz,1,20,1,1,0,1,2,1,1,7
