,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
29940,297898952,Itzmenotcrazyboy,0,1,3,2,1,2,3,2,2,15
29941,298570831,Itzmenotcrazyboy,0,2,1,3,0,2,2,2,1,11
29942,299091314,Itzmenotcrazyboy,0,3,1,3,3,3,3,2,2,17
29943,299959876,Itzmenotcrazyboy,0,4,3,1,1,2,2,2,2,13
29944,302839352,Itzmenotcrazyboy,0,5,3,3,3,2,3,2,2,18
29945,303694404,Itzmenotcrazyboy,0,6,1,3,0,2,1,2,1,10
29946,303853952,Itzmenotcrazyboy,0,7,1,3,3,2,2,2,2,15
29947,304581016,Itzmenotcrazyboy,0,8,1,3,3,2,3,2,2,16
29948,305197180,Itzmenotcrazyboy,0,9,3,3,3,2,3,2,2,18
29949,305909333,Itzmenotcrazyboy,0,10,1,2,1,2,2,2,2,12
29950,305916542,Itzmenotcrazyboy,0,11,1,1,3,2,2,2,2,13
29951,306501347,Itzmenotcrazyboy,0,12,1,1,3,2,2,2,2,13
29952,306829288,Itzmenotcrazyboy,0,13,1,1,3,2,3,2,2,14
29953,307728442,Itzmenotcrazyboy,0,14,3,1,1,1,2,1,2,11
29954,308065849,Itzmenotcrazyboy,0,15,3,3,3,3,2,2,2,18
29955,308795514,Itzmenotcrazyboy,0,16,1,2,3,2,2,2,2,14
29956,308876084,Itzmenotcrazyboy,0,17,3,2,3,2,3,2,2,17
29957,309735651,Itzmenotcrazyboy,0,18,3,3,3,2,3,2,2,18
29958,310401023,Itzmenotcrazyboy,0,19,3,3,3,2,3,2,2,18
29959,311463101,Itzmenotcrazyboy,0,20,3,3,3,3,3,2,2,19
