,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
30000,279752779,J2cat,0,1,3,3,0,2,3,2,1,14
30001,281708881,J2cat,1,2,1,1,0,0,2,1,1,6
30002,281737487,J2cat,0,3,0,0,0,0,1,1,1,3
30003,282184826,J2cat,0,4,1,3,3,3,2,2,2,16
30004,285947161,J2cat,0,5,3,1,0,1,2,2,1,10
30005,286626848,J2cat,0,6,3,3,3,3,2,2,2,18
30006,287652135,J2cat,0,7,3,3,3,3,2,2,2,18
30007,288744597,J2cat,0,8,3,3,3,3,2,2,2,18
30008,289927506,J2cat,0,9,1,1,0,0,2,1,1,6
30009,295207022,J2cat,0,10,1,1,0,1,2,1,1,7
30010,299425254,J2cat,1,11,1,1,0,1,2,2,1,8
30011,302489392,J2cat,1,12,1,1,0,1,2,2,1,8
30012,305777740,J2cat,1,13,1,1,0,1,2,2,1,8
30013,305881266,J2cat,0,14,3,3,3,3,2,2,2,18
30014,306781228,J2cat,1,15,0,0,0,0,2,1,1,4
30015,307520827,J2cat,1,16,0,0,0,0,2,1,1,4
30016,310302493,J2cat,0,17,1,0,0,0,2,2,1,6
30017,311054402,J2cat,0,18,1,1,0,1,2,2,1,8
30018,313561851,J2cat,0,19,1,1,0,0,2,2,1,7
30019,314958041,J2cat,0,20,3,1,0,1,2,2,1,10
