,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
30400,277394982,JLRFan,1,1,1,0,0,0,1,2,1,5
30401,277395121,JLRFan,1,2,1,1,0,0,1,2,1,6
30402,277395343,JLRFan,1,3,0,0,0,0,1,1,1,3
30403,277395518,JLRFan,1,4,1,1,0,0,1,2,1,6
30404,277466593,JLRFan,1,5,1,1,0,0,1,2,1,6
30405,277507791,JLRFan,1,6,0,0,0,0,0,0,0,0
30406,277515133,JLRFan,0,7,0,0,0,0,2,1,1,4
30407,277517406,JLRFan,1,8,0,0,0,0,0,1,0,1
30408,280850752,JLRFan,1,9,1,1,0,0,1,2,1,6
30409,281694403,JLRFan,1,10,1,0,0,0,1,2,1,5
30410,282788695,JLRFan,1,11,1,3,0,2,1,2,1,10
30411,282791156,JLRFan,1,12,0,0,0,0,1,1,1,3
30412,282792757,JLRFan,1,13,1,1,0,0,1,1,1,5
30413,282794657,JLRFan,1,14,1,2,0,0,1,2,1,7
30414,282795440,JLRFan,1,15,0,0,0,0,0,0,0,0
30415,283962161,JLRFan,1,16,0,0,0,0,0,0,0,0
30416,284068217,JLRFan,1,17,1,3,0,2,1,2,1,10
30417,285701531,JLRFan,1,18,0,0,0,0,0,0,0,0
30418,285701878,JLRFan,1,19,1,1,0,0,1,1,1,5
30419,285702337,JLRFan,1,20,1,1,0,0,1,1,1,5
