,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
30520,325826646,JP-gaming1-0,0,1,2,3,3,3,2,2,1,16
30521,325827079,JP-gaming1-0,0,2,1,3,3,3,2,2,1,15
30522,325827407,JP-gaming1-0,0,3,1,3,3,3,3,2,1,16
30523,326043895,JP-gaming1-0,0,4,1,0,0,0,1,2,1,5
30524,326098579,JP-gaming1-0,0,5,3,1,1,1,2,2,1,11
30525,326306882,JP-gaming1-0,0,6,3,1,3,1,2,2,2,14
30526,326354976,JP-gaming1-0,0,7,1,1,1,1,2,2,1,9
30527,327992228,JP-gaming1-0,0,8,2,1,3,1,3,2,2,14
30528,328041416,JP-gaming1-0,0,9,3,3,3,3,3,2,2,19
30529,328286621,JP-gaming1-0,0,10,3,1,3,2,2,2,2,15
30530,328327309,JP-gaming1-0,0,11,3,1,3,2,2,2,2,15
30531,328561316,JP-gaming1-0,0,12,3,1,3,3,2,2,1,15
30532,328609479,JP-gaming1-0,0,13,3,1,3,2,2,2,2,15
30533,328999497,JP-gaming1-0,0,14,1,1,1,0,2,2,1,8
30534,329205473,JP-gaming1-0,0,15,1,0,3,2,3,2,1,12
30535,329811189,JP-gaming1-0,0,16,1,3,3,2,2,2,2,15
30536,330058352,JP-gaming1-0,0,17,3,3,3,3,3,2,2,19
30537,330914087,JP-gaming1-0,1,18,3,3,3,3,3,2,3,20
30538,330963475,JP-gaming1-0,0,19,1,1,1,2,2,1,1,9
30539,331522870,JP-gaming1-0,0,20,2,3,3,3,3,2,3,19
