,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
30840,279769904,JZtop,0,1,0,0,0,0,2,1,1,4
30841,280431134,JZtop,0,2,1,0,0,0,2,2,1,6
30842,280890484,JZtop,0,3,0,0,0,0,0,0,0,0
30843,281172342,JZtop,0,4,0,0,0,1,1,1,0,3
30844,282243059,JZtop,0,5,1,2,0,0,1,2,0,6
30845,282542254,JZtop,0,6,1,0,0,0,1,2,2,6
30846,283965573,JZtop,0,7,1,1,0,1,1,1,1,6
30847,284074198,JZtop,0,8,0,0,0,0,0,0,0,0
30848,284301366,JZtop,0,9,0,0,0,0,0,0,0,0
30849,286352044,JZtop,0,10,0,0,0,0,2,1,1,4
30850,287371952,JZtop,0,11,0,0,0,0,0,0,0,0
30851,287377210,JZtop,0,12,1,1,0,1,2,1,1,7
30852,288146030,JZtop,0,13,1,2,1,0,1,2,1,8
30853,288537948,JZtop,0,14,0,0,0,0,2,1,0,3
30854,289063269,JZtop,0,15,0,0,0,0,2,1,0,3
30855,291101024,JZtop,0,16,0,0,0,0,0,0,0,0
30856,292396513,JZtop,0,17,1,0,0,0,2,1,1,5
30857,294524660,JZtop,0,18,1,1,0,1,2,1,1,7
30858,304605451,JZtop,0,19,0,0,0,0,2,1,1,4
30859,304954843,JZtop,0,20,0,0,0,0,2,1,0,3
