,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
31560,277913596,JaviASecas,1,1,1,1,0,3,2,2,2,11
31561,278459432,JaviASecas,1,2,1,1,0,1,2,2,2,9
31562,278463403,JaviASecas,0,3,1,1,0,1,2,1,1,7
31563,279260869,JaviASecas,0,4,1,2,0,1,2,2,1,9
31564,279261342,JaviASecas,0,5,0,0,0,0,1,1,1,3
31565,279362216,JaviASecas,0,6,0,0,0,1,2,1,1,5
31566,279418950,JaviASecas,0,7,1,0,1,2,2,2,1,9
31567,279754684,JaviASecas,0,8,0,0,0,1,2,1,1,5
31568,280261538,JaviASecas,0,9,1,2,1,0,1,2,2,9
31569,280268190,JaviASecas,0,10,0,0,0,0,2,1,1,4
31570,280682475,JaviASecas,0,11,1,1,1,1,2,2,2,10
31571,281098808,JaviASecas,0,12,0,0,0,0,1,0,1,2
31572,281104299,JaviASecas,0,13,1,1,1,0,2,2,1,8
31573,281965694,JaviASecas,0,14,1,1,1,2,2,2,2,11
31574,281971462,JaviASecas,0,15,1,2,1,2,1,2,2,11
31575,282640282,JaviASecas,0,16,1,1,1,3,2,2,2,12
31576,282643680,JaviASecas,1,17,0,0,1,0,2,1,2,6
31577,282644178,JaviASecas,1,18,1,1,0,3,1,2,1,9
31578,333555561,JaviASecas,0,19,0,0,0,0,1,1,0,2
31579,334364809,JaviASecas,0,20,0,0,0,0,1,2,2,5
