,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
31600,287899615,Jaxk_,0,1,1,1,0,1,2,1,1,7
31601,287905320,Jaxk_,0,2,1,0,0,0,1,2,1,5
31602,287908428,Jaxk_,0,3,1,1,0,0,1,1,1,5
31603,287911160,Jaxk_,0,4,0,0,0,1,1,2,1,5
31604,288192034,Jaxk_,0,5,0,0,0,1,1,2,1,5
31605,288193547,Jaxk_,0,6,0,0,0,1,2,1,1,5
31606,288194506,Jaxk_,0,7,1,1,0,1,2,1,1,7
31607,288195599,Jaxk_,0,8,1,1,0,1,1,1,1,6
31608,288196496,Jaxk_,0,9,0,0,0,1,1,2,1,5
31609,288198818,Jaxk_,0,10,0,0,0,0,1,2,0,3
31610,288199375,Jaxk_,0,11,0,0,0,1,2,2,0,5
31611,288200076,Jaxk_,0,12,0,0,0,1,2,2,1,6
31612,288201074,Jaxk_,0,13,0,0,0,1,1,2,0,4
31613,288202374,Jaxk_,0,14,0,0,0,0,1,2,0,3
31614,288473140,Jaxk_,0,15,0,0,0,0,1,2,1,4
31615,288473924,Jaxk_,0,16,1,0,0,1,2,2,0,6
31616,288475268,Jaxk_,0,17,0,0,0,0,1,2,0,3
31617,288475898,Jaxk_,0,18,0,0,0,0,2,1,0,3
31618,288477182,Jaxk_,0,19,0,0,0,0,1,1,0,2
31619,288478042,Jaxk_,0,20,1,1,0,1,1,1,0,5
