,ProjectId,UserName,IsRemix,Number,Abst,Para,Logi,Sync,Flow,User,Data,CTScore
31900,290133163,JesseMario2009,1,1,2,3,3,3,3,2,3,19
31901,290138516,JesseMario2009,1,2,1,3,3,3,3,2,3,18
31902,290299197,JesseMario2009,1,3,2,3,3,3,3,2,3,19
31903,290350021,JesseMario2009,1,4,2,3,3,3,3,2,3,19
31904,290445028,JesseMario2009,0,5,0,0,0,0,1,1,1,3
31905,290446806,JesseMario2009,1,6,2,3,3,3,3,2,3,19
31906,290455315,JesseMario2009,1,7,2,3,3,3,3,2,3,19
31907,291939035,JesseMario2009,1,8,1,3,3,3,3,2,3,18
31908,292152219,JesseMario2009,1,9,1,3,3,3,3,2,2,17
31909,292212197,JesseMario2009,1,10,2,3,3,3,3,2,3,19
31910,292372254,JesseMario2009,1,11,2,3,3,3,3,2,3,19
31911,292376289,JesseMario2009,1,12,2,3,3,3,3,2,3,19
31912,292733427,JesseMario2009,1,13,2,3,3,3,3,2,3,19
31913,293030161,JesseMario2009,1,14,2,3,3,3,3,2,3,19
31914,294983632,JesseMario2009,1,15,2,3,3,3,3,2,3,19
31915,295144543,JesseMario2009,1,16,2,3,3,3,3,2,3,19
31916,295339399,JesseMario2009,1,17,1,3,3,3,3,2,3,18
31917,295544815,JesseMario2009,1,18,2,3,3,3,3,2,3,19
31918,295556146,JesseMario2009,1,19,2,3,3,3,3,2,3,19
31919,295564789,JesseMario2009,0,20,1,0,0,0,2,2,1,6
